Frequency (GHz),Peak (mV),Noise (mV),Date,Type,Span (MHz),LNA,Antenna
0.25,6.72,0.121,2024-05-30,CAL,25,True,CAB
0.333333,6.83,0.122,2024-05-30,CAL,25,True,CAB
0.416667,6.85,0.119,2024-05-30,CAL,25,True,CAB
0.5,6.5,0.12,2024-05-30,CAL,25,True,CAB
0.583333,6.73,0.117,2024-05-30,CAL,25,True,CAB
0.666667,7.01,0.121,2024-05-30,CAL,25,True,CAB
0.75,7.57,0.132,2024-05-30,CAL,25,True,CAB
0.833333,6.74,0.119,2024-05-30,CAL,25,True,CAB
0.916667,7.0,0.122,2024-05-30,CAL,25,True,CAB
1.0,7.25,0.127,2024-05-30,CAL,25,True,CAB
1.08333,7.81,0.135,2024-05-30,CAL,25,True,CAB
1.16667,8.4,0.145,2024-05-30,CAL,25,True,CAB
1.25,7.57,0.131,2024-05-30,CAL,25,True,CAB
1.33333,7.46,0.131,2024-05-30,CAL,25,True,CAB
1.41667,7.43,0.129,2024-05-30,CAL,25,True,CAB
1.5,7.4,0.128,2024-05-30,CAL,25,True,CAB
1.58333,7.38,0.128,2024-05-30,CAL,25,True,CAB
1.66667,7.35,0.128,2024-05-30,CAL,25,True,CAB
1.75,7.33,0.128,2024-05-30,CAL,25,True,CAB
1.83333,7.3,0.129,2024-05-30,CAL,25,True,CAB
1.91667,7.39,0.129,2024-05-30,CAL,25,True,CAB
2.0,7.29,0.127,2024-05-30,CAL,25,True,CAB
2.08333,7.19,0.127,2024-05-30,CAL,25,True,CAB
2.16667,6.84,0.12,2024-05-30,CAL,25,True,CAB
2.25,6.78,0.119,2024-05-30,CAL,25,True,CAB
2.33333,6.06,0.0973,2024-05-30,CAL,25,True,CAB
2.41667,6.69,0.111,2024-05-30,CAL,25,True,CAB
2.5,6.63,0.102,2024-05-30,CAL,25,True,CAB
2.58333,6.34,0.101,2024-05-30,CAL,25,True,CAB
2.66667,6.22,0.0815,2024-05-30,CAL,25,True,CAB
2.75,4.89,0.0548,2024-05-30,CAL,25,True,CAB
2.83333,6.25,0.094,2024-05-30,CAL,25,True,CAB
2.91667,6.75,0.103,2024-05-30,CAL,25,True,CAB
3.0,7.32,0.124,2024-05-30,CAL,25,True,CAB
3.08333,7.21,0.0945,2024-05-30,CAL,25,True,CAB
3.16667,7.09,0.0957,2024-05-30,CAL,25,True,CAB
3.25,8.74,0.15,2024-05-30,CAL,25,True,CAB
3.33333,7.28,0.0875,2024-05-30,CAL,25,True,CAB
3.41667,8.78,0.152,2024-05-30,CAL,25,True,CAB
3.5,9.25,0.161,2024-05-30,CAL,25,True,CAB
3.58333,9.33,0.161,2024-05-30,CAL,25,True,CAB
3.66667,8.98,0.153,2024-05-30,CAL,25,True,CAB
3.75,9.34,0.159,2024-05-30,CAL,25,True,CAB
3.83333,9.43,0.163,2024-05-30,CAL,25,True,CAB
3.91667,8.88,0.151,2024-05-30,CAL,25,True,CAB
4.0,7.91,0.136,2024-05-30,CAL,25,True,CAB
4.08333,8.54,0.144,2024-05-30,CAL,25,True,CAB
4.16667,8.09,0.141,2024-05-30,CAL,25,True,CAB
4.25,8.15,0.142,2024-05-30,CAL,25,True,CAB
4.33333,8.44,0.147,2024-05-30,CAL,25,True,CAB
4.41667,10.7,0.184,2024-05-30,CAL,25,True,CAB
4.5,10.1,0.174,2024-05-30,CAL,25,True,CAB
4.58333,9.73,0.17,2024-05-30,CAL,25,True,CAB
4.66667,10.7,0.186,2024-05-30,CAL,25,True,CAB
4.75,10.8,0.191,2024-05-30,CAL,25,True,CAB
4.83333,11.8,0.208,2024-05-30,CAL,25,True,CAB
4.91667,13.0,0.228,2024-05-30,CAL,25,True,CAB
5.0,11.7,0.206,2024-05-30,CAL,25,True,CAB
5.08333,11.4,0.198,2024-05-30,CAL,25,True,CAB
5.16667,12.1,0.212,2024-05-30,CAL,25,True,CAB
5.25,12.0,0.211,2024-05-30,CAL,25,True,CAB
5.33333,11.3,0.204,2024-05-30,CAL,25,True,CAB
5.41667,12.8,0.251,2024-05-30,CAL,25,True,CAB
5.5,12.6,0.236,2024-05-30,CAL,25,True,CAB
5.58333,10.2,0.197,2024-05-30,CAL,25,True,CAB
5.66667,11.6,0.223,2024-05-30,CAL,25,True,CAB
5.75,13.7,0.257,2024-05-30,CAL,25,True,CAB
5.83333,11.6,0.223,2024-05-30,CAL,25,True,CAB
5.91667,10.5,0.211,2024-05-30,CAL,25,True,CAB
6.0,12.6,0.248,2024-05-30,CAL,25,True,CAB
