# Frequency (GHz),Peak (mV),Noise (mV),Span (MHz),Date,Type,LNA,Antenna
0.25,6.97,0.208,25,2024-05-30,SI,True,LF
0.333333,7.13,0.18,25,2024-05-30,SI,True,LF
0.416667,7.14,0.232,25,2024-05-30,SI,True,LF
0.5,6.58,0.186,25,2024-05-30,SI,True,LF
0.583333,6.98,0.192,25,2024-05-30,SI,True,LF
0.666667,7.13,0.219,25,2024-05-30,SI,True,LF
0.75,8.01,0.247,25,2024-05-30,SI,True,LF
0.833333,7.14,0.185,25,2024-05-30,SI,True,LF
0.916667,6.97,0.17,25,2024-05-30,SI,True,LF
1.0,5.42,0.117,25,2024-05-30,SI,True,LF
1.08333,7.13,0.154,25,2024-05-30,SI,True,LF
1.16667,8.9,0.218,25,2024-05-30,SI,True,LF
1.25,3.77,0.0809,25,2024-05-30,SI,True,LF
1.33333,7.86,0.187,25,2024-05-30,SI,True,LF
1.41667,6.43,0.137,25,2024-05-30,SI,True,LF
1.5,3.28,0.0829,25,2024-05-30,SI,True,LF
1.58333,4.86,0.104,25,2024-05-30,SI,True,LF
1.66667,4.11,0.0845,25,2024-05-30,SI,True,LF
1.75,7.29,0.149,25,2024-05-30,SI,True,LF
1.83333,6.57,0.152,25,2024-05-30,SI,True,LF
1.91667,4.38,0.0977,25,2024-05-30,SI,True,LF
2.0,3.06,0.0646,25,2024-05-30,SI,True,LF
2.08333,0.324,0.0151,25,2024-05-30,SI,True,LF
2.16667,2.33,0.0643,25,2024-05-30,SI,True,LF
2.25,0.967,0.0251,25,2024-05-30,SI,True,LF
2.33333,1.36,0.0324,25,2024-05-30,SI,True,LF
2.41667,1.63,0.0646,25,2024-05-30,SI,True,LF
2.5,1.71,0.0372,25,2024-05-30,SI,True,LF
2.58333,1.46,0.0352,25,2024-05-30,SI,True,LF
2.66667,0.784,0.0184,25,2024-05-30,SI,True,LF
2.75,0.76,0.016,25,2024-05-30,SI,True,LF
2.83333,1.01,0.0238,25,2024-05-30,SI,True,LF
2.91667,1.62,0.0369,25,2024-05-30,SI,True,LF
3.0,2.36,0.055,25,2024-05-30,SI,True,LF
3.08333,3.46,0.0682,25,2024-05-30,SI,True,LF
3.16667,3.91,0.078,25,2024-05-30,SI,True,LF
3.25,4.81,0.11,25,2024-05-30,SI,True,LF
3.33333,3.58,0.0648,25,2024-05-30,SI,True,LF
3.41667,3.2,0.076,25,2024-05-30,SI,True,LF
3.5,3.18,0.0758,25,2024-05-30,SI,True,LF
3.58333,3.19,0.0763,25,2024-05-30,SI,True,LF
3.66667,1.77,0.0473,25,2024-05-30,SI,True,LF
3.75,1.82,0.049,25,2024-05-30,SI,True,LF
3.83333,0.834,0.0463,25,2024-05-30,SI,True,LF
3.91667,0.619,0.0301,25,2024-05-30,SI,True,LF
4.0,0.246,0.0262,25,2024-05-30,SI,True,LF
4.08333,0.399,0.0548,25,2024-05-30,SI,True,LF
4.16667,0.28,0.0322,25,2024-05-30,SI,True,LF
4.25,0.171,0.0354,25,2024-05-30,SI,True,LF
4.33333,0.328,0.0379,25,2024-05-30,SI,True,LF
4.41667,1.03,0.116,25,2024-05-30,SI,True,LF
4.5,0.3,0.0424,25,2024-05-30,SI,True,LF
4.58333,0.704,0.0517,25,2024-05-30,SI,True,LF
4.66667,1.1,0.0531,25,2024-05-30,SI,True,LF
4.75,0.852,0.049,25,2024-05-30,SI,True,LF
4.83333,0.28,0.0452,25,2024-05-30,SI,True,LF
4.91667,0.681,0.0528,25,2024-05-30,SI,True,LF
5.0,0.273,0.046,25,2024-05-30,SI,True,LF
5.08333,0.125,0.0426,25,2024-05-30,SI,True,LF
5.16667,0.255,0.0466,25,2024-05-30,SI,True,LF
5.25,0.226,0.0408,25,2024-05-30,SI,True,LF
5.33333,0.166,0.163,25,2024-05-30,SI,True,LF
5.41667,1.04,0.64,25,2024-05-30,SI,True,LF
5.5,0.917,0.6,25,2024-05-30,SI,True,LF
5.58333,1.12,0.657,25,2024-05-30,SI,True,LF
5.66667,1.05,0.671,25,2024-05-30,SI,True,LF
5.75,0.954,0.702,25,2024-05-30,SI,True,LF
5.83333,0.995,0.692,25,2024-05-30,SI,True,LF
5.91667,2.23,0.793,25,2024-05-30,SI,True,LF
6.0,1.15,0.751,25,2024-05-30,SI,True,LF
