Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,2.41993e-01,2.06500e-02,1.48500e-01,4.72303e-03
3.08081e-01,1.59621e-01,1.82500e-02,8.21506e-03,4.92950e-04
3.66162e-01,9.15304e-01,3.00000e-02,2.19249e-02,2.52982e-04
4.24242e-01,7.11596e-01,2.56667e-02,2.74208e-01,4.99546e-03
4.82323e-01,6.98314e-01,2.53333e-02,1.28305e-01,3.29161e-03
5.40404e-01,4.24633e-02,9.40667e-03,2.09036e-02,1.74887e-03
5.98485e-01,3.14368e-01,1.45500e-02,8.11928e-02,2.04915e-03
6.56566e-01,3.77691e-01,1.80000e-02,3.58873e-02,2.60768e-04
7.14646e-01,3.42105e-01,1.77167e-02,5.74390e-02,8.15884e-04
7.72727e-01,4.28437e-01,2.26333e-02,1.03860e-01,1.37502e-03
8.30808e-01,1.61136e-01,1.71833e-02,8.38693e-02,4.19782e-03
8.88889e-01,9.66325e-01,6.03833e-02,6.23549e-01,2.79186e-02
9.46970e-01,1.88410e+00,4.33167e-02,4.34323e-02,3.82749e-03
1.00505e+00,2.34931e+00,4.87333e-02,5.62746e-02,3.42559e-03
1.06313e+00,1.43604e+00,3.06000e-02,6.49323e-02,4.12116e-03
1.12121e+00,2.11299e+00,4.47833e-02,9.92541e-02,4.82262e-03
1.17929e+00,9.12899e-01,2.49667e-02,0.00000e+00,1.02697e-03
1.23737e+00,1.82071e+00,3.87500e-02,7.85381e-02,2.02064e-03
1.29545e+00,1.25187e+00,2.87167e-02,3.68501e-02,2.22029e-03
1.35354e+00,1.37299e+00,3.18833e-02,4.11977e-02,4.91596e-04
1.41162e+00,1.62594e+00,3.47833e-02,4.87872e-02,2.84564e-03
1.46970e+00,1.90684e+00,3.90333e-02,4.56760e-02,4.14616e-03
1.52778e+00,1.49985e+00,3.37333e-02,0.00000e+00,3.26599e-04
1.58586e+00,1.81125e+00,3.74000e-02,5.43483e-02,3.45427e-03
1.64394e+00,1.32716e+00,3.05833e-02,0.00000e+00,1.05341e-03
1.70202e+00,1.74700e+00,3.68167e-02,4.02717e-02,1.98939e-03
1.76010e+00,1.66479e+00,3.56833e-02,0.00000e+00,8.08497e-04
1.81818e+00,1.13920e+00,2.66000e-02,7.30137e-01,5.64659e-03
1.87626e+00,2.96827e+00,6.22333e-02,7.11001e-02,5.60952e-04
1.93434e+00,4.72777e+00,8.77333e-02,1.46522e-01,2.32264e-03
1.99242e+00,6.18974e+00,1.09617e-01,9.50147e-16,8.50186e-03
2.05051e+00,4.89903e+00,9.32833e-02,0.00000e+00,2.42026e-03
2.10859e+00,1.45966e+00,3.82333e-02,8.94370e-02,3.87746e-03
2.16667e+00,3.61542e+00,7.45000e-02,1.57371e-01,2.38830e-03
2.22475e+00,4.86390e+00,9.04167e-02,0.00000e+00,2.30601e-03
2.28283e+00,4.66570e+00,8.43667e-02,1.39999e-01,7.68809e-03
2.34091e+00,1.71530e+00,3.50667e-02,8.82796e-02,1.45419e-03
2.39899e+00,1.21704e+00,2.20500e-02,1.51374e-01,1.99875e-03
2.45707e+00,2.73253e+00,5.02500e-02,6.54544e-02,1.01341e-03
2.51515e+00,3.16113e+00,4.08667e-02,2.19851e-01,1.16218e-03
2.57323e+00,2.30964e+00,2.10500e-02,7.11026e-01,2.69574e-03
2.63131e+00,6.90541e-01,1.19500e-02,8.44383e-02,1.03875e-03
2.68939e+00,1.42467e+00,2.11000e-02,8.12699e-02,1.14891e-03
2.74747e+00,2.26417e+00,2.86500e-02,2.24252e-01,8.54985e-04
2.80556e+00,2.93679e+00,3.54833e-02,8.64465e-02,1.97931e-03
2.86364e+00,3.11636e+00,5.53333e-02,1.46386e-01,3.51094e-03
2.92172e+00,1.23702e+00,2.53833e-02,7.57955e-02,2.13018e-03
2.97980e+00,1.08037e+00,2.23333e-02,1.43160e-01,2.63110e-03
3.03788e+00,2.15590e+00,3.92667e-02,1.42873e-01,3.05003e-03
3.09596e+00,3.33551e+00,4.97000e-02,1.21469e-01,1.16619e-03
3.15404e+00,2.09914e+00,2.82167e-02,6.29861e-02,1.83130e-03
