Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,7.76137e-02,1.84333e-02,8.29550e-03,3.14113e-04
3.08081e-01,5.11099e-02,1.59167e-02,7.92968e-03,1.47196e-04
3.66162e-01,6.59784e-02,1.57833e-02,5.42811e-03,1.72240e-04
4.24242e-01,5.97631e-02,1.43333e-02,4.35685e-03,2.16025e-04
4.82323e-01,5.79072e-02,1.44333e-02,7.33442e-03,1.21106e-04
5.40404e-01,6.71379e-02,1.39333e-02,1.11501e-02,1.75119e-04
5.98485e-01,1.40859e-01,1.53333e-02,6.13124e-03,2.33809e-04
6.56566e-01,8.65564e-02,1.46000e-02,8.62544e-03,2.09762e-04
7.14646e-01,1.32771e-01,1.45667e-02,4.18504e-03,2.16025e-04
7.72727e-01,3.27604e-01,2.36667e-02,2.71640e-02,4.09569e-03
8.30808e-01,5.33640e-01,2.21333e-02,1.57081e-02,6.88961e-04
8.88889e-01,5.55645e-01,2.11333e-02,0.00000e+00,3.32666e-04
9.46970e-01,4.52621e-01,2.36667e-02,0.00000e+00,5.75036e-04
1.00505e+00,4.23379e-01,1.77667e-02,1.27039e-02,1.21106e-04
1.06313e+00,8.10454e-01,2.47000e-02,3.66455e-02,5.79655e-04
1.12121e+00,6.25243e-01,2.25500e-02,1.28459e-01,2.10404e-03
1.17929e+00,9.56047e-01,2.68667e-02,9.55677e-02,1.32313e-03
1.23737e+00,9.24255e-01,2.54000e-02,2.77331e-02,1.26491e-04
1.29545e+00,9.60058e-01,2.57500e-02,1.18768e-16,8.36660e-05
1.35354e+00,5.59506e-01,1.82333e-02,2.66467e-02,1.75119e-04
1.41162e+00,5.71678e-01,1.82667e-02,1.45670e-02,1.75119e-04
1.46970e+00,8.60086e-01,2.29167e-02,2.58077e-02,2.48328e-04
1.52778e+00,1.06240e+00,2.62333e-02,3.86898e-02,1.50555e-04
1.58586e+00,4.91259e-01,1.60000e-02,1.44606e-02,1.09545e-04
1.64394e+00,4.98795e-01,1.63333e-02,0.00000e+00,1.96638e-04
1.70202e+00,6.51140e-01,1.88167e-02,3.94247e-02,4.11906e-04
1.76010e+00,8.43074e-01,2.19833e-02,3.63671e-02,3.65605e-04
1.81818e+00,6.00194e-01,1.93500e-02,1.80094e-02,5.24404e-04
1.87626e+00,4.23379e-01,1.87000e-02,1.27039e-02,9.42338e-04
1.93434e+00,4.55510e-01,1.63167e-02,1.34083e-02,6.33772e-04
1.99242e+00,9.00228e-01,2.43333e-02,2.83759e-02,3.72380e-04
2.05051e+00,8.07570e-01,2.25833e-02,3.84608e-02,8.03534e-04
2.10859e+00,1.38936e+00,3.31500e-02,3.32804e-02,3.83406e-04
2.16667e+00,1.01896e+00,2.85500e-02,4.43530e-02,7.03562e-04
2.22475e+00,3.11185e-01,1.29167e-02,6.48506e-02,1.14266e-03
2.28283e+00,9.33452e-01,2.28833e-02,7.88856e-02,1.36296e-03
2.34091e+00,1.16839e+00,2.59500e-02,5.41708e-02,8.52643e-04
2.39899e+00,1.79692e+00,2.93167e-02,4.09986e-02,8.88632e-04
2.45707e+00,1.36101e+00,3.04000e-02,2.37537e-16,1.22801e-03
2.51515e+00,1.12502e+00,1.79000e-02,6.60098e-02,5.32917e-04
2.57323e+00,5.83341e-01,9.79000e-03,1.40590e-01,3.51113e-04
2.63131e+00,1.21367e+00,2.22333e-02,4.41984e-02,1.60083e-03
2.68939e+00,1.03687e+00,1.41500e-02,1.24629e-01,5.50454e-04
2.74747e+00,7.60853e-01,1.29167e-02,7.48657e-02,3.60093e-04
2.80556e+00,1.70846e+00,2.24000e-02,1.16659e-01,7.58947e-04
2.86364e+00,3.06595e+00,5.66167e-02,7.34406e-02,9.10860e-04
2.92172e+00,2.49885e+00,4.72000e-02,1.07791e-01,1.11714e-03
2.97980e+00,3.53624e+00,6.31500e-02,8.15174e-02,1.06536e-03
3.03788e+00,2.35527e+00,4.26500e-02,7.06721e-02,9.79285e-04
3.09596e+00,1.99510e+00,3.23667e-02,1.02680e-01,1.51745e-03
3.15404e+00,1.77257e+00,2.63833e-02,5.31879e-02,3.97073e-04
3.21212e+00,7.48745e-01,1.18667e-02,1.78975e-01,8.61781e-04
3.27020e+00,1.01124e+00,2.16000e-02,3.03428e-02,3.84708e-04
3.32828e+00,1.66133e+00,2.31833e-02,1.00294e-01,7.38693e-04
3.38636e+00,3.11340e+00,6.72000e-02,4.75074e-16,3.09839e-04
3.44444e+00,1.02040e+00,2.73333e-02,1.00757e+00,1.85652e-02
3.50253e+00,2.20993e+00,5.23833e-02,5.29359e-02,5.98052e-04
3.56061e+00,1.78356e+00,4.38000e-02,6.49521e-02,6.98570e-04
3.61869e+00,6.94209e-01,2.55500e-02,2.99457e-02,4.18330e-04
3.67677e+00,1.91809e+00,4.71500e-02,1.83007e-01,2.76170e-03
3.73485e+00,3.01851e+00,6.50667e-02,6.95822e-02,1.09118e-03
3.79293e+00,1.95421e+00,5.82167e-02,8.50624e-02,1.68928e-03
3.85101e+00,2.43874e+00,5.83000e-02,7.68707e-02,5.05964e-04
3.90909e+00,2.07661e+00,5.17000e-02,6.23101e-02,5.11508e-03
3.96717e+00,5.67252e-01,3.02500e-02,3.41717e-02,7.09225e-04
4.02525e+00,1.36459e+00,4.45167e-02,3.26864e-02,3.14860e-03
4.08333e+00,1.22583e+00,5.13333e-02,5.83806e-02,2.62348e-03
4.14141e+00,1.22860e+00,4.70833e-02,5.34778e-02,9.10860e-04
4.19949e+00,1.29522e+00,5.08833e-02,9.00803e-02,1.00681e-03
4.25758e+00,1.46782e+00,5.53167e-02,0.00000e+00,4.07022e-04
4.31566e+00,7.28157e-01,3.88500e-02,2.65173e-02,3.56371e-04
4.37374e+00,6.42280e-01,4.67833e-02,3.16951e-02,1.04691e-02
4.43182e+00,1.37463e+00,5.92667e-02,4.04634e-02,5.20871e-03
4.48990e+00,2.58002e+00,7.40167e-02,7.59446e-02,4.44597e-04
4.54798e+00,1.88830e+00,6.04833e-02,2.13637e-01,7.81599e-03
4.60606e+00,1.30224e+00,4.93500e-02,3.11934e-02,6.83374e-04
4.66414e+00,8.58874e-01,4.55500e-02,4.99556e-02,1.00946e-03
4.72222e+00,9.80742e-01,4.71000e-02,4.67080e-02,8.71780e-04
4.78030e+00,1.44564e+00,5.87833e-02,4.25538e-02,6.17792e-04
4.83838e+00,1.45730e+00,6.21167e-02,0.00000e+00,1.41904e-03
4.89646e+00,9.27586e-01,5.18333e-02,2.78329e-02,7.55425e-04
4.95455e+00,5.24404e-01,4.52833e-02,2.37116e-02,4.11906e-04
5.01263e+00,3.89931e-01,4.47167e-02,4.96302e-02,1.01669e-03
5.07071e+00,5.19505e-01,4.38167e-02,2.67369e-02,6.58534e-04
5.12879e+00,5.08411e-01,4.38000e-02,2.61658e-02,3.68782e-04
5.18687e+00,7.18873e-01,4.76167e-02,3.33294e-02,7.67898e-04
5.24495e+00,8.27590e-01,4.71667e-02,1.98239e-02,4.58984e-04
5.30303e+00,7.89879e-01,4.59667e-02,2.32508e-02,5.24087e-04
5.36111e+00,1.05182e+00,4.59167e-01,1.69400e-01,5.60060e-03
5.41919e+00,8.66447e-01,4.49167e-01,1.80620e-01,4.07022e-03
5.47727e+00,8.59185e-01,4.88833e-01,1.16703e-01,4.44597e-03
5.53535e+00,1.07379e+00,4.87333e-01,1.64007e-01,7.08990e-03
5.59343e+00,1.11030e+00,5.12833e-01,1.35766e-01,7.75672e-03
5.65152e+00,9.89502e-01,5.07667e-01,1.12959e-01,6.28225e-03
5.70960e+00,9.89542e-01,5.18000e-01,1.33417e-01,6.09918e-03
5.76768e+00,9.40223e-01,5.56000e-01,8.07401e-02,7.12741e-03
5.82576e+00,1.04382e+00,5.48333e-01,6.27198e-02,2.73252e-03
5.88384e+00,1.05571e+00,6.02167e-01,1.17481e-01,5.15429e-03
5.94192e+00,1.18239e+00,5.88333e-01,1.94011e-01,7.17403e-03
6.00000e+00,1.07832e+00,6.17667e-01,1.25360e-01,1.02111e-02
