Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,2.56166e-01,2.29500e-02,8.13069e-03,3.61939e-04
3.08081e-01,1.30957e-01,1.94833e-02,1.71602e-02,3.86868e-04
3.66162e-01,3.98199e-01,2.15667e-02,3.20589e-02,2.06559e-04
4.24242e-01,9.87725e-01,3.02667e-02,6.89357e-02,9.33095e-04
4.82323e-01,1.23234e+00,3.54833e-02,2.84080e-02,6.55490e-04
5.40404e-01,1.43587e+00,3.77667e-02,6.19381e-02,7.17403e-04
5.98485e-01,1.27178e+00,3.49000e-02,4.63145e-02,2.96648e-04
6.56566e-01,8.90563e-01,2.84500e-02,2.80713e-02,5.64801e-04
7.14646e-01,1.58367e+00,4.02000e-02,4.99183e-02,4.81664e-04
7.72727e-01,1.20914e+00,3.71167e-02,3.81133e-02,1.92501e-03
8.30808e-01,2.00808e+00,4.97833e-02,6.13582e-02,2.23555e-03
8.88889e-01,1.10468e+00,3.09167e-02,0.00000e+00,2.40139e-04
9.46970e-01,1.81318e+00,4.82667e-02,4.34323e-02,4.67618e-04
1.00505e+00,2.37228e+00,5.06000e-02,7.11823e-02,2.28035e-04
1.06313e+00,2.18832e+00,4.82500e-02,0.00000e+00,2.42899e-04
1.12121e+00,3.90169e+00,7.71167e-02,9.34599e-02,1.14964e-03
1.17929e+00,4.57533e+00,8.82500e-02,0.00000e+00,1.27240e-03
1.23737e+00,2.80260e+00,5.75500e-02,8.24961e-02,2.42899e-04
1.29545e+00,1.90869e+00,4.21167e-02,2.37537e-16,3.31160e-04
1.35354e+00,2.07421e+00,4.44167e-02,6.53805e-02,4.44597e-04
1.41162e+00,1.13993e+00,2.83667e-02,2.73057e-02,8.16497e-05
1.46970e+00,1.33674e+00,3.14333e-02,0.00000e+00,1.86190e-04
1.52778e+00,8.85074e-01,2.32333e-02,2.04027e-02,2.50333e-04
1.58586e+00,6.18458e-01,1.83167e-02,1.82048e-02,1.83485e-04
1.64394e+00,1.01488e+00,2.51833e-02,3.04521e-02,1.72240e-04
1.70202e+00,8.34373e-01,2.19000e-02,0.00000e+00,1.26491e-04
1.76010e+00,7.73011e-01,2.15667e-02,2.27541e-02,2.73252e-04
1.81818e+00,1.47842e+00,3.57333e-02,2.37537e-16,9.62635e-04
1.87626e+00,2.59662e+00,5.67667e-02,1.13025e-01,6.31401e-04
1.93434e+00,2.61019e+00,5.37667e-02,4.75074e-16,3.01109e-04
1.99242e+00,1.33403e+00,3.19000e-02,4.00286e-02,6.32456e-05
2.05051e+00,3.27424e+00,6.48167e-02,0.00000e+00,1.17884e-03
2.10859e+00,2.33247e+00,5.08667e-02,5.58712e-02,5.95539e-04
2.16667e+00,1.62924e+00,4.15500e-02,0.00000e+00,1.30499e-03
2.22475e+00,1.15341e+00,2.71500e-02,0.00000e+00,4.92950e-04
2.28283e+00,3.39903e+00,6.46500e-02,7.83535e-02,4.03733e-04
2.34091e+00,1.55723e+00,3.18167e-02,4.67263e-02,9.74508e-04
2.39899e+00,1.93448e+00,3.15500e-02,4.63382e-02,8.75785e-04
2.45707e+00,1.28026e+00,3.02167e-02,0.00000e+00,8.30408e-03
2.51515e+00,1.30763e+00,1.95167e-02,8.70737e-02,1.01275e-03
2.57323e+00,8.39614e-01,1.08300e-02,2.10540e-01,6.24660e-04
2.63131e+00,5.71608e-01,1.13667e-02,8.04567e-02,1.10935e-03
2.68939e+00,5.41636e-01,1.05417e-02,4.68380e-02,4.75833e-04
2.74747e+00,1.36141e+00,1.92000e-02,1.32554e-01,9.23038e-04
2.80556e+00,2.16285e+00,2.76333e-02,1.30292e-01,1.30333e-03
2.86364e+00,2.00294e+00,3.85000e-02,4.61721e-02,5.44059e-04
2.92172e+00,6.13203e-01,1.58667e-02,1.41356e-02,1.86190e-04
2.97980e+00,5.91534e-01,1.48000e-02,1.36359e-02,2.68328e-04
3.03788e+00,1.99372e+00,3.66333e-02,6.28429e-02,9.20145e-04
3.09596e+00,1.40580e+00,2.43500e-02,0.00000e+00,3.08221e-04
3.15404e+00,1.02264e+00,1.66500e-02,4.45124e-02,3.61939e-04
3.21212e+00,8.96664e-01,1.24000e-02,2.69698e-01,1.21655e-03
3.27020e+00,1.04664e+00,2.08167e-02,0.00000e+00,1.71746e-03
3.32828e+00,1.16005e+00,1.76667e-02,5.66351e-02,3.77712e-04
3.38636e+00,1.10071e+00,3.10667e-02,0.00000e+00,1.23558e-03
3.44444e+00,1.07616e+00,3.16833e-02,2.57780e-02,2.99444e-04
3.50253e+00,6.50950e-01,2.45667e-02,0.00000e+00,3.93277e-04
3.56061e+00,9.34151e-01,2.92500e-02,2.15341e-02,7.23187e-04
3.61869e+00,2.04372e-01,1.72500e-02,2.96921e-17,2.07364e-04
3.67677e+00,8.03256e-01,2.81167e-02,2.41025e-02,2.78687e-04
3.73485e+00,7.70132e-01,2.73833e-02,1.84475e-02,3.86868e-04
3.79293e+00,5.33308e-01,4.80500e-02,2.60367e-02,3.77134e-03
3.85101e+00,3.14719e-01,2.19167e-02,5.93842e-17,2.85774e-04
3.90909e+00,5.14713e-01,2.73833e-02,1.23292e-02,3.37145e-04
3.96717e+00,5.43326e-01,2.96333e-02,1.59933e-02,4.67618e-04
4.02525e+00,4.13859e-01,2.99333e-02,1.30452e-02,2.73252e-04
4.08333e+00,5.72107e-01,4.78500e-02,1.80333e-02,5.51389e-03
4.14141e+00,2.53719e-01,2.97167e-02,7.99746e-03,2.48328e-04
4.19949e+00,2.35907e-01,3.24000e-02,1.01761e-02,4.73286e-04
4.25758e+00,2.81086e-01,3.41167e-02,1.30321e-02,2.48328e-04
4.31566e+00,2.97237e-01,3.07333e-02,9.36912e-03,4.13118e-04
4.37374e+00,1.94828e-01,3.82667e-02,1.11140e-02,1.41034e-02
4.43182e+00,2.89646e-01,3.88333e-02,1.37945e-02,6.88467e-03
4.48990e+00,4.03566e-01,3.55667e-02,1.27208e-02,2.16025e-04
4.54798e+00,1.91026e-01,3.63333e-02,1.32856e-02,1.22257e-03
4.60606e+00,4.56660e-01,3.78833e-02,2.96363e-02,1.88830e-03
4.66414e+00,3.85571e-01,3.88000e-02,1.15694e-02,5.76194e-04
4.72222e+00,4.97069e-01,4.01000e-02,6.41166e-02,2.68328e-04
4.78030e+00,2.15525e-01,3.85167e-02,6.34415e-03,3.54495e-04
4.83838e+00,1.88428e-01,4.16667e-02,1.13753e-02,6.12100e-04
4.89646e+00,3.19299e-01,4.20000e-02,2.47185e-02,4.00000e-04
4.95455e+00,1.65602e-01,3.99833e-02,1.42377e-02,5.23132e-04
5.01263e+00,1.44124e-01,4.09500e-02,1.28368e-02,5.20577e-04
5.07071e+00,1.06351e-01,3.64000e-02,1.79781e-02,5.54977e-04
5.12879e+00,2.71591e-01,3.84500e-02,1.52289e-02,2.81069e-04
5.18687e+00,4.14727e-01,4.06000e-02,2.28503e-02,3.09839e-04
5.24495e+00,2.15724e-01,3.47000e-02,1.70008e-02,5.25357e-04
5.30303e+00,1.01570e-01,3.34667e-02,1.19510e-02,1.86190e-04
5.36111e+00,1.12314e+00,4.53667e-01,9.87664e-01,7.50111e-03
5.41919e+00,7.27134e-01,4.49667e-01,1.08267e-01,3.32666e-03
5.47727e+00,8.53745e-01,4.88833e-01,9.29990e-02,4.53505e-03
5.53535e+00,7.42468e-01,4.72667e-01,1.09944e-01,6.15359e-03
5.59343e+00,8.66400e-01,5.05667e-01,5.62272e-02,4.63321e-03
5.65152e+00,8.02440e-01,5.07000e-01,2.92225e-02,7.56307e-03
5.70960e+00,8.27829e-01,5.15167e-01,1.58507e-01,6.73548e-03
5.76768e+00,1.04904e+00,5.56667e-01,1.67182e-01,6.25033e-03
5.82576e+00,8.18670e-01,5.48000e-01,6.50218e-02,4.85798e-03
5.88384e+00,9.16943e-01,5.94167e-01,6.37719e-02,4.87511e-03
5.94192e+00,8.37680e-01,5.57000e-01,1.02119e-01,6.26099e-03
6.00000e+00,1.00293e+00,6.08333e-01,1.15467e-01,3.20416e-03
