Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,6.97841e+00,1.97000e-01,1.29745e-02,1.31757e-02
3.33333e-01,7.14780e+00,1.72500e-01,0.00000e+00,1.04881e-03
4.16667e-01,7.38609e+00,1.73833e-01,2.32817e-01,4.16733e-03
5.00000e-01,6.84577e+00,2.02000e-01,0.00000e+00,5.40370e-03
5.83333e-01,6.94500e+00,2.03167e-01,0.00000e+00,2.92689e-03
6.66667e-01,7.22537e+00,1.89833e-01,0.00000e+00,3.06050e-03
7.50000e-01,8.10700e+00,2.32333e-01,0.00000e+00,7.63326e-03
8.33333e-01,7.22537e+00,1.81667e-01,0.00000e+00,3.32666e-03
9.16667e-01,6.38425e+00,1.34833e-01,1.88742e-01,6.96898e-03
1.00000e+00,5.69342e+00,1.16167e-01,1.67590e-01,5.87934e-03
1.08333e+00,8.18814e+00,1.91000e-01,2.41022e-01,4.04969e-03
1.16667e+00,8.99855e+00,2.18333e-01,0.00000e+00,5.57375e-03
1.25000e+00,8.01997e+00,2.18333e-01,1.90029e-15,3.55903e-03
1.33333e+00,7.99116e+00,1.86000e-01,0.00000e+00,1.26491e-03
1.41667e+00,7.96246e+00,1.86833e-01,0.00000e+00,1.47196e-03
1.50000e+00,7.93387e+00,1.78167e-01,1.90029e-15,2.13698e-03
1.58333e+00,7.46316e+00,1.50167e-01,9.50147e-16,9.83192e-04
1.66667e+00,2.96046e+00,6.19333e-02,4.75074e-16,7.76316e-04
1.75000e+00,5.19672e+00,1.00850e-01,1.19795e-01,9.46044e-04
1.83333e+00,5.33002e+00,1.19333e-01,1.59932e-01,2.73252e-03
1.91667e+00,5.41375e+00,1.03500e-01,1.59358e-01,8.36660e-04
2.00000e+00,5.09255e+00,9.87500e-02,1.49903e-01,7.76531e-04
2.08333e+00,3.79149e+00,7.44333e-02,1.11606e-01,2.42212e-04
2.16667e+00,3.08809e+00,6.63167e-02,7.39717e-02,8.23205e-04
2.25000e+00,8.10699e-01,2.20500e-02,1.18768e-16,1.51658e-04
2.33333e+00,3.78854e-01,1.40167e-02,1.64905e-02,9.83192e-05
2.41667e+00,1.12633e+00,2.69000e-02,2.59642e-02,3.28634e-04
2.50000e+00,4.44668e-01,1.22167e-02,2.60907e-02,1.08704e-03
2.58333e+00,3.71024e-01,1.63667e-02,3.05245e-02,1.79406e-03
2.66667e+00,4.79971e-01,1.25000e-02,2.47021e-02,3.34664e-04
2.75000e+00,1.59360e-01,6.64833e-03,1.05609e-02,2.18670e-04
2.83333e+00,9.08269e-01,1.61667e-02,4.21106e-02,4.63321e-04
2.91667e+00,8.71184e-01,2.03833e-02,1.18768e-16,2.31661e-04
3.00000e+00,8.13281e-01,1.63500e-02,3.50818e-02,1.51658e-04
3.08333e+00,5.89215e-01,1.33833e-02,1.60020e-01,2.14701e-03
3.16667e+00,1.04441e+00,2.12333e-02,2.21332e-01,3.49952e-03
