id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R10,0.25,7.0897,0.169824,0.196333,0.00326599,BOX,LF
20-06-24_R10,0.308081,7.1478,0.0,0.174833,0.00365605,BOX,LF
20-06-24_R10,0.366162,7.17356,9.50147e-16,0.153667,0.00575036,BOX,LF
20-06-24_R10,0.424242,7.22537,0.0,0.194667,0.00216025,BOX,LF
20-06-24_R10,0.482323,6.97003,0.0,0.193167,0.0033116,BOX,LF
20-06-24_R10,0.540404,6.96423,0.204996,0.182667,0.0042269,BOX,LF
20-06-24_R10,0.598485,7.12607,0.259511,0.195167,0.00365605,BOX,LF
20-06-24_R10,0.656566,7.32302,0.175412,0.187833,0.00365605,BOX,LF
20-06-24_R10,0.714646,7.68108,0.0,0.2055,0.00294958,BOX,LF
20-06-24_R10,0.772727,8.36571,0.200389,0.233833,0.00348807,BOX,LF
20-06-24_R10,0.830808,6.98098,0.209471,0.227833,0.00719491,BOX,LF
20-06-24_R10,0.888889,7.40964,0.0,0.186,0.00316228,BOX,LF
20-06-24_R10,0.94697,7.59863,0.0,0.1845,0.00207364,BOX,LF
20-06-24_R10,1.00505,7.7476,0.178596,0.1775,0.00187083,BOX,LF
20-06-24_R10,1.06313,8.1772,0.1885,0.175,0.00209762,BOX,LF
20-06-24_R10,1.12121,8.59963,0.198239,0.192,0.00424264,BOX,LF
20-06-24_R10,1.17929,8.64938,0.0,0.179167,0.000983192,BOX,LF
20-06-24_R10,1.23737,7.06518,0.207968,0.140333,0.00136626,BOX,LF
20-06-24_R10,1.29545,8.07788,0.0,0.179,0.00209762,BOX,LF
20-06-24_R10,1.35354,7.74871,0.232506,0.185,0.00340588,BOX,LF
20-06-24_R10,1.41162,6.01413,9.50147e-16,0.121,0.000632456,BOX,LF
20-06-24_R10,1.4697,7.69315,0.23084,0.159667,0.00150555,BOX,LF
20-06-24_R10,1.52778,7.40347,0.217926,0.148167,0.0022286,BOX,LF
20-06-24_R10,1.58586,6.96423,0.204996,0.137667,0.00196638,BOX,LF
20-06-24_R10,1.64394,6.87329,0.216651,0.135167,0.00213698,BOX,LF
20-06-24_R10,1.70202,7.04567,9.50147e-16,0.140333,0.000516398,BOX,LF
20-06-24_R10,1.7601,5.5444,0.127809,0.106333,0.000816497,BOX,LF
20-06-24_R10,1.81818,6.62765,9.50147e-16,0.129,0.00154919,BOX,LF
20-06-24_R10,1.87626,6.46908,0.190849,0.138,0.00209762,BOX,LF
20-06-24_R10,1.93434,5.84672,0.212921,0.1165,0.00344964,BOX,LF
20-06-24_R10,1.99242,6.68601,0.20062,0.127333,0.00206559,BOX,LF
20-06-24_R10,2.05051,5.09255,0.149903,0.0995333,0.000966782,BOX,LF
20-06-24_R10,2.10859,3.4577,0.125919,0.07185,0.00215476,BOX,LF
20-06-24_R10,2.16667,2.13211,0.0627604,0.0476667,0.00250971,BOX,LF
20-06-24_R10,2.22475,0.592464,0.0494155,0.0186167,0.00109438,BOX,LF
20-06-24_R10,2.28283,3.978,0.12539,0.0793833,0.00164124,BOX,LF
20-06-24_R10,2.34091,5.28244,0.1632,0.105167,0.00147196,BOX,LF
20-06-24_R10,2.39899,3.45245,0.0826989,0.0586833,0.0065807,BOX,LF
20-06-24_R10,2.45707,2.30743,0.0552715,0.05185,0.00917992,BOX,LF
20-06-24_R10,2.51515,1.31543,0.136481,0.0236667,0.00157692,BOX,LF
20-06-24_R10,2.57323,0.457278,0.0747535,0.0106333,0.000307679,BOX,LF
20-06-24_R10,2.63131,0.590935,0.0186268,0.0157167,0.000587934,BOX,LF
20-06-24_R10,2.68939,1.4743,0.132483,0.0220833,0.000470815,BOX,LF
20-06-24_R10,2.74747,2.78757,0.36,0.0433333,0.000831064,BOX,LF
20-06-24_R10,2.80556,4.72091,0.269304,0.0649667,0.00204613,BOX,LF
20-06-24_R10,2.86364,7.19942,9.50147e-16,0.1405,0.0013784,BOX,LF
20-06-24_R10,2.92172,7.03887,0.168608,0.1405,0.0013784,BOX,LF
20-06-24_R10,2.9798,7.54414,9.50147e-16,0.146,0.00178885,BOX,LF
20-06-24_R10,3.03788,8.19497,0.0,0.161833,0.00160208,BOX,LF
20-06-24_R10,3.09596,8.16892,0.257491,0.138667,0.00650128,BOX,LF
20-06-24_R10,3.15404,7.70897,0.58426,0.1245,0.00339116,BOX,LF
20-06-24_R10,3.21212,6.17111,2.09798,0.08915,0.00880562,BOX,LF
20-06-24_R10,3.2702,9.27453,0.213796,0.173333,0.00258199,BOX,LF
20-06-24_R10,3.32828,6.99805,0.220584,0.104,0.00167332,BOX,LF
20-06-24_R10,3.38636,9.94267,0.238161,0.206333,0.00742069,BOX,LF
20-06-24_R10,3.44444,7.50075,0.172907,0.154333,0.00258199,BOX,LF
20-06-24_R10,3.50253,3.74631,0.112412,0.0819,0.00168879,BOX,LF
20-06-24_R10,3.56061,0.737689,0.0217145,0.0270833,0.000312517,BOX,LF
