Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,1.52895e-01,3.02500e-02,1.64468e-02,7.68765e-04
3.08081e-01,5.01257e-02,2.25333e-02,1.31167e-02,5.00666e-04
3.66162e-01,7.33833e-02,1.75667e-02,9.77206e-03,7.42069e-04
4.24242e-01,1.18740e-01,1.79000e-02,6.96700e-03,1.78885e-04
4.82323e-01,1.92087e-01,1.85000e-02,5.65425e-03,1.54919e-04
5.40404e-01,1.17668e-01,1.77000e-02,5.12183e-03,2.89828e-04
5.98485e-01,1.80773e-01,2.60667e-02,7.98224e-03,3.66970e-04
6.56566e-01,7.96566e-02,1.62000e-02,1.40955e-02,2.19089e-04
7.14646e-01,1.01586e-01,1.53833e-02,1.04784e-02,3.31160e-04
7.72727e-01,4.06451e-01,3.70667e-02,1.94701e-02,9.76272e-03
8.30808e-01,2.09672e-01,3.11333e-02,6.60898e-03,3.49552e-03
8.88889e-01,1.41817e-01,1.28833e-02,4.25532e-03,1.72240e-04
9.46970e-01,7.15943e-02,1.50667e-02,4.38673e-03,3.26599e-04
1.00505e+00,9.84261e-02,1.17000e-02,8.76661e-03,1.41421e-04
1.06313e+00,1.17650e-01,1.25167e-02,1.01540e-02,2.56255e-04
1.12121e+00,1.76082e-01,1.37500e-02,8.16380e-03,1.22474e-04
1.17929e+00,1.32846e-01,1.29500e-02,6.55567e-03,1.37840e-04
1.23737e+00,6.61885e-02,1.19167e-02,7.75895e-03,1.83485e-04
1.29545e+00,2.07204e-02,1.11833e-02,2.36315e-03,1.47196e-04
1.35354e+00,8.52335e-02,1.21833e-02,7.59159e-03,1.16905e-04
1.41162e+00,1.17466e-01,1.25833e-02,6.89223e-03,2.13698e-04
1.46970e+00,1.13774e-01,1.19167e-02,7.76883e-03,7.52773e-05
1.52778e+00,1.27443e-01,1.16167e-02,3.05272e-03,1.47196e-04
1.58586e+00,9.90606e-02,1.05333e-02,5.65089e-03,5.16398e-05
1.64394e+00,6.16238e-02,8.98000e-03,1.81395e-03,1.29306e-04
1.70202e+00,2.40200e-02,7.64000e-03,1.67642e-03,4.73286e-05
1.76010e+00,6.50408e-02,7.95667e-03,1.91452e-03,5.95539e-05
1.81818e+00,5.16942e-02,8.04833e-03,5.14269e-03,7.96032e-05
1.87626e+00,2.41818e-02,7.43500e-03,2.91721e-03,1.63799e-04
1.93434e+00,3.30219e-02,7.05667e-03,3.53662e-03,5.60952e-05
1.99242e+00,2.36691e-02,7.29333e-03,3.11539e-03,5.92171e-05
2.05051e+00,3.97045e-02,7.64667e-03,1.84085e-03,7.65942e-05
2.10859e+00,6.89870e-02,8.84833e-03,3.55512e-03,4.88361e-04
2.16667e+00,7.34402e-02,9.52167e-03,6.55144e-03,1.90517e-04
2.22475e+00,1.86414e-01,1.10167e-02,5.59352e-03,9.83192e-05
2.28283e+00,2.19219e-01,1.16000e-02,1.83455e-02,3.09839e-04
2.34091e+00,1.72841e-02,8.65000e-03,2.46854e-03,1.31909e-04
2.39899e+00,1.93554e-01,9.77833e-03,8.34918e-03,1.32577e-04
2.45707e+00,1.49322e-01,1.04167e-02,4.39537e-03,1.50578e-03
2.51515e+00,6.30393e-02,6.09500e-03,3.81689e-03,8.50294e-05
2.57323e+00,6.73266e-02,6.03333e-03,1.91572e-02,1.38516e-04
2.63131e+00,1.26261e-01,7.38500e-03,2.40821e-02,1.27864e-03
