Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,1.14338e-01,1.96833e-02,1.69509e-02,2.99444e-04
3.08081e-01,3.94481e-02,1.57167e-02,5.92721e-03,2.31661e-04
3.66162e-01,1.09764e-01,1.62833e-02,9.86362e-03,2.85774e-04
4.24242e-01,4.91059e-02,1.40833e-02,6.22720e-03,1.83485e-04
4.82323e-01,1.76905e-01,1.65500e-02,7.63099e-03,1.64317e-04
5.40404e-01,6.12199e-02,1.36333e-02,7.09089e-03,1.96638e-04
5.98485e-01,6.13939e-02,1.34667e-02,7.07510e-03,1.03280e-04
6.56566e-01,5.60252e-02,1.37500e-02,1.55800e-02,2.16795e-04
7.14646e-01,9.95640e-02,1.40000e-02,3.13835e-03,1.78885e-04
7.72727e-01,2.31428e-01,2.12000e-02,5.00753e-03,3.29424e-03
8.30808e-01,4.23885e-01,2.33333e-02,1.24773e-02,1.17075e-03
8.88889e-01,5.61132e-01,2.12167e-02,1.34412e-02,2.13698e-04
9.46970e-01,4.88910e-01,2.32333e-02,1.46700e-02,4.92612e-04
1.00505e+00,5.03187e-01,1.89667e-02,1.50984e-02,1.03280e-04
1.06313e+00,9.44423e-01,2.72500e-02,2.83382e-02,1.51658e-04
1.12121e+00,9.64894e-01,2.69333e-02,2.22428e-02,1.63299e-04
1.17929e+00,6.36518e-01,2.06667e-02,1.87364e-02,2.06559e-04
1.23737e+00,9.42156e-01,2.56167e-02,2.77331e-02,1.47196e-04
1.29545e+00,8.31720e-01,2.30500e-02,2.62165e-02,1.76068e-04
1.35354e+00,1.15939e+00,2.82333e-02,3.47882e-02,1.63299e-04
1.41162e+00,2.07421e-01,1.20500e-02,6.53805e-03,1.04881e-04
1.46970e+00,7.12213e-01,2.03000e-02,1.18768e-16,6.32456e-05
1.52778e+00,1.12878e+00,2.75167e-02,0.00000e+00,4.08248e-05
1.58586e+00,1.67883e+00,3.63667e-02,3.12059e-03,1.96638e-04
1.64394e+00,5.20368e-01,1.69167e-02,1.53174e-02,1.94079e-04
1.70202e+00,2.94343e-01,1.31000e-02,6.78521e-03,2.00000e-04
1.76010e+00,7.04957e-01,2.02667e-02,2.56725e-02,1.63299e-04
1.81818e+00,9.91654e-01,2.62000e-02,0.00000e+00,3.16228e-04
1.87626e+00,1.00458e+00,2.95667e-02,2.96989e-02,1.02111e-03
1.93434e+00,9.93677e-01,2.62167e-02,2.41462e-02,3.43026e-04
1.99242e+00,1.37279e+00,3.24500e-02,3.16454e-02,2.16795e-04
2.05051e+00,1.11842e+00,2.80333e-02,3.35591e-02,1.03280e-04
2.10859e+00,1.21473e+00,3.01833e-02,2.80022e-02,2.63944e-04
2.16667e+00,5.61907e-01,1.99333e-02,1.77116e-02,6.97615e-04
2.22475e+00,5.79812e-01,1.78000e-02,8.50708e-04,1.89737e-04
2.28283e+00,1.31971e+00,2.95000e-02,3.95994e-02,1.67332e-04
2.34091e+00,2.36103e+00,4.60167e-02,7.44218e-02,7.08284e-04
2.39899e+00,1.64951e+00,2.80167e-02,4.94947e-02,2.13698e-04
2.45707e+00,3.02019e-01,1.40167e-02,1.31461e-02,3.82853e-03
2.51515e+00,8.69143e-01,1.53667e-02,6.69781e-02,3.38625e-04
2.57323e+00,1.16699e+00,1.33833e-02,3.40069e-01,1.21559e-03
2.63131e+00,2.44415e+00,3.75333e-02,5.85461e-02,5.92036e-03
2.68939e+00,2.24612e+00,2.54667e-02,1.63747e-01,4.67618e-04
2.74747e+00,2.12391e+00,2.80167e-02,2.01810e-01,2.71416e-04
2.80556e+00,2.11000e+00,2.67833e-02,1.47083e-01,1.20899e-03
2.86364e+00,2.86614e+00,5.24667e-02,0.00000e+00,8.21381e-04
2.92172e+00,4.44123e+00,7.97167e-02,1.06383e-01,1.04003e-03
2.97980e+00,6.17007e+00,1.07667e-01,1.94485e-01,1.50555e-03
3.03788e+00,6.20605e+00,1.04667e-01,1.48657e-01,1.21106e-03
3.09596e+00,3.16027e+00,5.02000e-02,1.15088e-01,3.86937e-03
3.15404e+00,2.15107e+00,2.81500e-02,1.49603e-01,1.60468e-03
3.21212e+00,1.91383e+00,1.90500e-02,5.79471e-01,1.15369e-03
3.27020e+00,5.52449e+00,9.24167e-02,1.27350e-01,1.70108e-03
3.32828e+00,4.13310e+00,4.85167e-02,2.48980e-01,2.45717e-03
3.38636e+00,6.64512e+00,1.27667e-01,1.59175e-01,5.16398e-04
3.44444e+00,4.29972e+00,8.83000e-02,1.02994e-01,7.92465e-04
3.50253e+00,1.93215e+00,4.60667e-02,4.45399e-02,3.38625e-04
3.56061e+00,3.55670e+00,7.47000e-02,4.75074e-16,2.97523e-03
3.61869e+00,3.97800e+00,8.24333e-02,1.25390e-01,1.80850e-03
3.67677e+00,3.77738e+00,7.89000e-02,9.04821e-02,6.98570e-04
3.73485e+00,7.65350e+00,1.44167e-01,0.00000e+00,1.47196e-03
3.79293e+00,8.80638e+00,1.75167e-01,0.00000e+00,3.48807e-03
3.85101e+00,8.40398e+00,1.58167e-01,0.00000e+00,6.55490e-03
3.90909e+00,6.82119e+00,1.33833e-01,0.00000e+00,3.31160e-03
3.96717e+00,8.47797e+00,1.64667e-01,2.54389e-01,1.63299e-03
4.02525e+00,9.03098e+00,1.76000e-01,0.00000e+00,8.94427e-04
4.08333e+00,6.38049e+00,1.40667e-01,1.91451e-01,3.66970e-03
4.14141e+00,5.27841e+00,1.16333e-01,1.26437e-01,1.03280e-03
4.19949e+00,6.23788e+00,1.33000e-01,2.27166e-01,1.41421e-03
4.25758e+00,6.75075e+00,1.44833e-01,2.12789e-01,2.31661e-03
4.31566e+00,6.87045e+00,1.42500e-01,0.00000e+00,5.47723e-04
4.37374e+00,6.66907e+00,1.44167e-01,1.59749e-01,2.92689e-03
4.43182e+00,9.36181e+00,1.99833e-01,1.90029e-15,6.43169e-03
4.48990e+00,9.69097e+00,1.95167e-01,4.73105e-01,2.63944e-03
4.54798e+00,9.28571e+00,1.93667e-01,2.22427e-01,1.63299e-03
4.60606e+00,7.95583e+00,1.57833e-01,2.34184e-01,1.60208e-03
4.66414e+00,4.76003e+00,1.12000e-01,0.00000e+00,8.94427e-04
4.72222e+00,6.34148e+00,1.38667e-01,1.51901e-01,1.21106e-03
4.78030e+00,5.92247e+00,1.33167e-01,1.41865e-01,7.52773e-04
4.83838e+00,6.31228e+00,1.43500e-01,1.99314e-01,8.36660e-04
4.89646e+00,4.50290e+00,1.10667e-01,1.05279e-01,4.84424e-03
4.95455e+00,4.22715e+00,1.09167e-01,0.00000e+00,9.83192e-04
5.01263e+00,3.76643e+00,1.02333e-01,1.79378e-01,8.16497e-04
5.07071e+00,4.62221e+00,1.12833e-01,6.78100e-03,7.52773e-04
5.12879e+00,4.25767e+00,1.07833e-01,0.00000e+00,7.52773e-04
5.18687e+00,4.42955e+00,1.09833e-01,0.00000e+00,9.83192e-04
5.24495e+00,4.68252e+00,1.13000e-01,1.40502e-01,1.41421e-03
5.30303e+00,4.77719e+00,1.14000e-01,0.00000e+00,8.94427e-04
5.36111e+00,5.22435e+00,5.24000e-01,3.64178e-01,7.89937e-03
5.41919e+00,3.93985e+00,4.99833e-01,1.18218e-01,3.97073e-03
5.47727e+00,3.35420e+00,5.17333e-01,1.91341e-01,8.09115e-03
5.53535e+00,3.22680e+00,5.11833e-01,9.96903e-02,8.03534e-03
5.59343e+00,4.25878e+00,5.51833e-01,2.49882e-01,6.43169e-03
5.65152e+00,3.07717e+00,5.39167e-01,1.85371e-01,5.11534e-03
5.70960e+00,3.18994e+00,5.52500e-01,1.46912e-01,3.39116e-03
