Frequency (GHz),Peak (mV),Noise (mV),Time (s),SigPeak (mV),SigNoise (mV)
2.20000e+00,2.00812e+00,4.18667e-02,4.76531e+00,6.32976e-02,9.62635e-04
2.32000e+00,2.98308e+00,5.49667e-02,9.55644e+00,9.40286e-02,5.27889e-04
2.44000e+00,1.35318e+00,2.96833e-02,1.43042e+01,3.11934e-02,3.57235e-03
2.56000e+00,1.60825e+00,2.53000e-02,1.91019e+01,3.70734e-02,6.72309e-04
2.68000e+00,6.75959e-01,1.50833e-02,2.39272e+01,8.56155e-02,1.28750e-03
2.80000e+00,2.08642e+00,2.99500e-02,2.86997e+01,1.25687e-01,1.08213e-03
2.20000e+00,2.29637e+00,4.71667e-02,3.84706e+01,5.29359e-02,4.92612e-04
2.32000e+00,2.95776e+00,5.49333e-02,4.33185e+01,1.78178e-01,2.71637e-03
2.44000e+00,1.53592e+00,2.92500e-02,4.81105e+01,1.09362e-01,2.48576e-03
2.56000e+00,1.47542e+00,2.37833e-02,5.29199e+01,4.42713e-02,9.60035e-04
2.68000e+00,6.98877e-01,1.52333e-02,5.77256e+01,4.21008e-02,7.44759e-04
2.80000e+00,1.98763e+00,2.97000e-02,6.25042e+01,9.33651e-02,6.57267e-04
2.20000e+00,2.20993e+00,4.66000e-02,7.24422e+01,5.29359e-02,3.89872e-04
2.32000e+00,3.06892e+00,5.52833e-02,7.72770e+01,0.00000e+00,1.25286e-03
2.44000e+00,1.37940e+00,3.16500e-02,8.20081e+01,3.30416e-02,3.40279e-03
2.56000e+00,1.51829e+00,2.35167e-02,8.68356e+01,3.49995e-02,1.06286e-03
2.68000e+00,6.84577e-01,1.53833e-02,9.16407e+01,0.00000e+00,2.56255e-04
2.80000e+00,1.96751e+00,3.02667e-02,9.64762e+01,5.90361e-02,4.17931e-04
2.20000e+00,2.25315e+00,4.64167e-02,1.06361e+02,7.10210e-02,1.12324e-03
2.32000e+00,3.06892e+00,5.56833e-02,1.11168e+02,0.00000e+00,2.92689e-04
2.44000e+00,1.36667e+00,3.18667e-02,1.15961e+02,4.97700e-02,3.69251e-03
2.56000e+00,1.53258e+00,2.41833e-02,1.20838e+02,0.00000e+00,1.16905e-04
2.68000e+00,6.78195e-01,1.54833e-02,1.25644e+02,1.56337e-02,6.67583e-04
2.80000e+00,1.98769e+00,2.94500e-02,1.30419e+02,9.80881e-02,1.09499e-03
2.20000e+00,2.25315e+00,4.61167e-02,1.40222e+02,7.10210e-02,1.32577e-03
2.32000e+00,3.06892e+00,5.58333e-02,1.45045e+02,0.00000e+00,5.88784e-04
2.44000e+00,1.37940e+00,3.23667e-02,1.49848e+02,3.30416e-02,3.04412e-03
