Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,2.75070e-01,2.43000e-02,2.37570e-02,6.26099e-04
3.47458e-01,8.55653e-01,2.98667e-02,1.18768e-16,3.98330e-04
4.44915e-01,1.60019e+00,4.13500e-02,0.00000e+00,4.67974e-04
5.42373e-01,1.45143e+00,3.80667e-02,9.66491e-02,6.91857e-04
6.39831e-01,1.52707e+00,3.91500e-02,0.00000e+00,4.03733e-04
7.37288e-01,1.47719e+00,3.83667e-02,4.34822e-02,1.96638e-04
8.34746e-01,2.03197e+00,4.67833e-02,4.68404e-02,5.98052e-04
9.32203e-01,1.97696e+00,5.43500e-02,5.81934e-02,1.53460e-03
1.02966e+00,2.85309e+00,6.02333e-02,6.83420e-02,8.77876e-04
1.12712e+00,4.12202e+00,8.10167e-02,9.50147e-16,1.15484e-03
1.22458e+00,3.00338e+00,6.11167e-02,0.00000e+00,8.77306e-04
1.32203e+00,2.73947e+00,5.43833e-02,8.22002e-02,6.67583e-04
1.41949e+00,1.34230e+00,3.13000e-02,4.88827e-02,9.93982e-04
1.51695e+00,1.31182e+00,3.02000e-02,3.86142e-02,2.75681e-04
1.61441e+00,1.67681e+00,3.72000e-02,2.37537e-16,4.93964e-04
1.71186e+00,1.19022e+00,2.81500e-02,2.85100e-02,2.25832e-04
1.80932e+00,1.67789e+00,3.84167e-02,1.08942e-01,8.54205e-04
1.90678e+00,1.75079e+00,3.76000e-02,2.37537e-16,5.09902e-04
2.00424e+00,3.41082e-01,1.45333e-02,2.54964e-02,3.98330e-04
2.10169e+00,2.74503e+00,5.55667e-02,0.00000e+00,1.37356e-03
2.19915e+00,1.30693e+00,3.07000e-02,3.13061e-02,4.04969e-04
2.29661e+00,2.38368e+00,4.77833e-02,7.01655e-02,7.16705e-04
2.39407e+00,2.02907e+00,3.23167e-02,0.00000e+00,2.18762e-03
2.49153e+00,2.34411e+00,4.41667e-02,7.38878e-02,1.24847e-03
2.58898e+00,1.66039e+00,2.84667e-02,7.79942e-02,5.31664e-04
2.68644e+00,5.07915e-01,1.16500e-02,6.55158e-02,2.76677e-03
2.78390e+00,2.75925e+00,4.06500e-02,8.27941e-02,3.87647e-03
2.88136e+00,2.24371e+00,4.18167e-02,4.32434e-01,6.42134e-03
2.97881e+00,4.03375e-01,1.17000e-02,6.28963e-02,9.65401e-04
3.07627e+00,2.05123e+00,3.30333e-02,6.86360e-01,6.22115e-03
3.17373e+00,9.83975e-01,1.83167e-02,6.33457e-02,2.55532e-03
3.27119e+00,1.15036e+00,2.18167e-02,5.40366e-02,1.95286e-03
3.36864e+00,1.18441e+00,3.03833e-02,5.18628e-01,8.05963e-03
3.46610e+00,4.08851e-01,1.93667e-02,9.79355e-03,8.23812e-04
3.56356e+00,1.01909e+00,2.88667e-02,4.72486e-02,2.98909e-03
3.66102e+00,7.77884e-01,2.79667e-02,3.21374e-01,3.53252e-03
3.75847e+00,7.49316e-01,2.79833e-02,2.36188e-02,9.47453e-04
3.85593e+00,5.25312e-01,2.57000e-02,1.21095e-02,3.34664e-04
3.95339e+00,4.28642e-01,2.76167e-02,2.98797e-02,2.04124e-04
4.05085e+00,9.15941e-01,3.74500e-02,4.36222e-02,2.54303e-03
4.14831e+00,3.37407e-01,3.14167e-02,2.60013e-02,3.06050e-04
4.24576e+00,2.04744e-01,3.32833e-02,7.40576e-02,1.80933e-03
4.34322e+00,9.71138e-02,2.99667e-02,1.86016e-02,4.96655e-04
4.44068e+00,1.79026e-01,3.27167e-02,1.22245e-02,4.35507e-04
4.53814e+00,9.95733e-02,3.38000e-02,2.01645e-02,6.98570e-04
4.63559e+00,1.43675e-01,3.70500e-02,1.39214e-02,1.59091e-03
4.73305e+00,2.10001e-01,3.74500e-02,9.14086e-03,2.34521e-04
4.83051e+00,2.51719e-01,4.27167e-02,1.13817e-02,3.60093e-04
4.92797e+00,6.27533e-02,3.89167e-02,5.90620e-03,2.31661e-04
5.02542e+00,2.33996e-01,4.17833e-02,2.39539e-02,4.62241e-04
5.12288e+00,2.63277e-01,3.88667e-02,2.11964e-02,6.86052e-04
5.22034e+00,1.24597e-01,3.66333e-02,2.37045e-02,1.14134e-03
5.31780e+00,7.80889e-02,3.51833e-02,3.62048e-03,9.32559e-04
5.41525e+00,7.42761e-01,4.41167e-01,1.86079e-01,9.88770e-03
5.51271e+00,7.40489e-01,4.52167e-01,7.50902e-02,7.88458e-03
5.61017e+00,7.68808e-01,4.90667e-01,8.72986e-02,7.76316e-03
5.70763e+00,8.63090e-01,5.14333e-01,1.94798e-01,6.40833e-03
5.80508e+00,9.17316e-01,5.62667e-01,9.86745e-02,7.00476e-03
5.90254e+00,9.17696e-01,5.93667e-01,1.24338e-01,6.02218e-03
6.00000e+00,9.87089e-01,6.11667e-01,1.46268e-01,4.67618e-03
