Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,3.71809e-01,2.55333e-02,1.09484e-03,3.38625e-04
3.22785e-01,4.58739e-01,2.34167e-02,1.09885e-02,1.94079e-04
3.95570e-01,7.88895e-01,2.77167e-02,4.76254e-02,5.07609e-04
4.68354e-01,2.06418e+00,4.79833e-02,6.07609e-02,2.22860e-04
5.41139e-01,8.46467e-01,2.78500e-02,0.00000e+00,5.47723e-05
6.13924e-01,8.36682e-01,2.75667e-02,2.46281e-02,6.86052e-04
6.86709e-01,2.12192e+00,4.83833e-02,6.36703e-02,5.07609e-04
7.59494e-01,9.25237e-01,3.59833e-02,2.21627e-02,3.07208e-03
8.32278e-01,1.75475e+00,4.46833e-02,8.75826e-02,9.45339e-04
9.05063e-01,3.29073e+00,6.62333e-02,7.58570e-02,3.73774e-03
9.77848e-01,4.26375e+00,8.73667e-02,9.82878e-02,2.35344e-03
1.05063e+00,4.88832e+00,9.37500e-02,1.11349e-01,1.19122e-03
1.12342e+00,3.87746e+00,7.56333e-02,0.00000e+00,1.15007e-03
1.19620e+00,4.30029e+00,8.26500e-02,1.26582e-01,4.63681e-04
1.26899e+00,4.35978e+00,8.12833e-02,2.02136e-01,1.80601e-03
1.34177e+00,3.41539e+00,6.72167e-02,8.18109e-02,6.61564e-04
1.41456e+00,3.00338e+00,6.03500e-02,0.00000e+00,7.44983e-04
1.48734e+00,1.68286e+00,3.60667e-02,0.00000e+00,2.42212e-04
1.56013e+00,1.17603e+00,2.72833e-02,2.71097e-02,6.55490e-04
1.63291e+00,1.80475e+00,3.85333e-02,5.41531e-02,8.75595e-04
1.70570e+00,1.79827e+00,3.89833e-02,5.39584e-02,6.43169e-04
1.77848e+00,1.77446e+00,3.81500e-02,4.25044e-02,1.64317e-04
1.85127e+00,1.20480e+00,3.96667e-02,3.79758e-02,2.36530e-03
1.92405e+00,1.12775e+00,2.77500e-02,6.79363e-02,9.35414e-04
1.99684e+00,2.68752e+00,5.53333e-02,8.47130e-02,1.44314e-03
2.06962e+00,3.92987e+00,7.66333e-02,9.41343e-02,5.24087e-04
2.14241e+00,5.58524e+00,1.17000e-01,1.67590e-01,2.19089e-03
2.21519e+00,5.00801e+00,9.38333e-02,1.57857e-01,8.95917e-04
2.28797e+00,3.60043e+00,6.86833e-02,8.29973e-02,1.15658e-03
2.36076e+00,1.57316e+00,2.89833e-02,7.38967e-02,7.08284e-04
2.43354e+00,7.23197e-01,2.15000e-02,7.68730e-02,3.75340e-03
2.50633e+00,1.71270e+00,2.31833e-02,1.44114e-01,7.02614e-04
2.57911e+00,8.73999e-01,1.87833e-02,6.09984e-02,1.07595e-03
2.65190e+00,2.01240e+00,3.12667e-02,1.14797e-01,8.26236e-04
2.72468e+00,1.89771e+00,2.52667e-02,4.37458e-02,7.96660e-04
2.79747e+00,3.33095e+00,4.47500e-02,1.01031e-01,5.17948e-03
