Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,3.11191e-01,2.42833e-02,3.43996e-02,7.52108e-04
3.47458e-01,7.55491e-01,2.77500e-02,1.74156e-02,4.50555e-04
4.44915e-01,1.55544e+00,4.06500e-02,4.90288e-02,4.84768e-04
5.42373e-01,1.32979e+00,3.59333e-02,5.78827e-02,8.11583e-04
6.39831e-01,1.55723e+00,3.91500e-02,4.67263e-02,2.07364e-04
7.37288e-01,1.46315e+00,3.80833e-02,4.61199e-02,4.35507e-04
8.34746e-01,2.05909e+00,4.71500e-02,5.56197e-02,4.72229e-04
9.32203e-01,2.35494e+00,6.06833e-02,5.42860e-02,1.18223e-03
1.02966e+00,2.96469e+00,6.01667e-02,6.83420e-02,3.97727e-03
1.12712e+00,3.53164e+00,7.54000e-02,7.79555e-01,7.45654e-03
1.22458e+00,3.00338e+00,6.00667e-02,0.00000e+00,1.21436e-03
1.32203e+00,2.51249e+00,5.16000e-02,5.79178e-02,2.00499e-03
1.41949e+00,1.31654e+00,2.89000e-02,3.87536e-02,1.79666e-03
1.51695e+00,1.42993e+00,3.21500e-02,3.42520e-02,1.13798e-03
1.61441e+00,1.88142e+00,3.76833e-02,2.37537e-16,1.86270e-03
1.71186e+00,9.64982e-01,2.43667e-02,5.82555e-02,6.43946e-04
1.80932e+00,2.45884e+00,5.11833e-02,5.66808e-02,9.10860e-04
1.90678e+00,1.97196e+00,4.18167e-02,1.87343e-01,3.06687e-03
2.00424e+00,8.99431e-01,2.44333e-02,7.67500e-02,1.59958e-03
2.10169e+00,2.43031e+00,5.11333e-02,2.01515e-01,3.31220e-03
2.19915e+00,1.55589e+00,3.35833e-02,1.06241e-01,1.82145e-03
2.29661e+00,3.27465e+00,6.07833e-02,1.83619e-01,2.88958e-03
2.39407e+00,1.88091e+00,3.17167e-02,8.95791e-02,6.52431e-04
2.49153e+00,1.09907e+00,2.39333e-02,5.09567e-02,8.06639e-04
2.58898e+00,1.26903e+00,2.28333e-02,5.52380e-02,6.34560e-04
2.68644e+00,4.29860e-01,8.96667e-03,7.36674e-02,3.88210e-04
2.78390e+00,2.34411e+00,3.27667e-02,7.38878e-02,4.44507e-03
2.88136e+00,1.85078e+00,3.66667e-02,5.55339e-02,8.35863e-04
2.97881e+00,6.16519e-01,1.54333e-02,5.50289e-02,9.70910e-04
3.07627e+00,2.21206e+00,3.44667e-02,0.00000e+00,1.33517e-03
3.17373e+00,5.59184e-01,1.29833e-02,1.63751e-02,2.13698e-04
3.27119e+00,1.17246e+00,2.36000e-02,5.10340e-02,8.09938e-04
3.36864e+00,1.10624e+00,3.10167e-02,2.54424e-02,9.86745e-04
3.46610e+00,7.13627e-01,2.46833e-02,3.10626e-02,1.23841e-03
3.56356e+00,8.09495e-01,2.76167e-02,3.75312e-02,7.83369e-04
3.66102e+00,1.05318e+00,3.14333e-02,2.52277e-02,7.00476e-04
3.75847e+00,1.14525e+00,3.48833e-02,9.02546e-02,1.12324e-03
3.85593e+00,4.46894e-01,2.44833e-02,2.81494e-02,4.40076e-04
3.95339e+00,5.08858e-01,2.87167e-02,2.21495e-02,4.99667e-04
4.05085e+00,5.77920e-01,3.33333e-02,2.75237e-02,5.53775e-04
4.14831e+00,2.36266e-01,2.94333e-02,1.21597e-02,3.26599e-04
4.24576e+00,3.43476e-01,3.60667e-02,5.34611e-02,1.02892e-03
4.34322e+00,1.10068e-01,2.98667e-02,1.36340e-02,2.58199e-04
4.44068e+00,1.20138e-01,3.44833e-02,1.36150e-02,6.63277e-03
4.53814e+00,1.35181e-01,3.65500e-02,2.89767e-02,2.83884e-03
4.63559e+00,3.12373e-01,3.94833e-02,2.78224e-02,3.10510e-03
4.73305e+00,2.34037e-01,3.74167e-02,2.13976e-02,5.15429e-04
4.83051e+00,1.75014e-01,4.10833e-02,1.22147e-02,4.83391e-04
4.92797e+00,7.27459e-02,3.87833e-02,9.59348e-03,5.52871e-04
5.02542e+00,3.69279e-01,4.40000e-02,1.10806e-02,3.79473e-04
5.12288e+00,2.67972e-01,3.91000e-02,1.37915e-02,7.29383e-04
5.22034e+00,1.52185e-01,3.53333e-02,1.41365e-02,4.22690e-04
5.31780e+00,8.45055e-02,3.26500e-02,1.49639e-02,1.87083e-04
5.41525e+00,6.81689e-01,4.41333e-01,5.79267e-02,6.50128e-03
5.51271e+00,7.53921e-01,4.56333e-01,1.25829e-01,4.50185e-03
5.61017e+00,7.37685e-01,4.92500e-01,6.00440e-02,5.24404e-03
5.70763e+00,9.31779e-01,5.23667e-01,1.32398e-01,4.50185e-03
5.80508e+00,9.56493e-01,5.62333e-01,1.31143e-01,9.83192e-03
5.90254e+00,9.21904e-01,5.94667e-01,7.30623e-02,4.76095e-03
6.00000e+00,8.89868e-01,6.11167e-01,3.99151e-02,9.26103e-03
