Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,6.92994e+00,1.94833e-01,1.59749e-01,2.56255e-03
3.08081e-01,7.12213e+00,1.87833e-01,9.50147e-16,4.26224e-03
3.66162e-01,7.14780e+00,1.58167e-01,0.00000e+00,2.92689e-03
4.24242e-01,7.19942e+00,2.22667e-01,9.50147e-16,2.87518e-03
4.82323e-01,6.94500e+00,1.84167e-01,0.00000e+00,1.32916e-03
5.40404e-01,6.67552e+00,2.03667e-01,9.50147e-16,1.21106e-03
5.98485e-01,7.17056e+00,1.91167e-01,3.09311e-01,1.94079e-03
6.56566e-01,7.29672e+00,1.72000e-01,1.74783e-01,3.16228e-03
7.14646e-01,7.51079e+00,1.83000e-01,2.21085e-01,1.78885e-03
7.72727e-01,8.33567e+00,2.40167e-01,1.99670e-01,1.94079e-03
8.30808e-01,7.16200e+00,2.09667e-01,3.11745e-01,7.78888e-03
8.88889e-01,7.38304e+00,1.79833e-01,9.50147e-16,3.37145e-03
9.46970e-01,7.57133e+00,1.88833e-01,0.00000e+00,2.13698e-03
1.00505e+00,7.71977e+00,1.66333e-01,1.77955e-01,1.50555e-03
1.06313e+00,5.97348e+00,1.19667e-01,1.88289e-01,5.60952e-03
1.12121e+00,8.56874e+00,2.03167e-01,1.97526e-01,2.63944e-03
1.17929e+00,9.03294e+00,2.20500e-01,2.03760e-01,2.34521e-03
1.23737e+00,8.10360e+00,2.01000e-01,3.49558e-01,1.89737e-03
1.29545e+00,7.94519e+00,2.03333e-01,1.83153e-01,1.86190e-03
1.35354e+00,7.76765e+00,1.93500e-01,2.44843e-01,3.08221e-03
1.41162e+00,7.81399e+00,1.72000e-01,2.30011e-01,1.89737e-03
1.46970e+00,7.49006e+00,1.68000e-01,9.50147e-16,2.44949e-03
1.52778e+00,7.78593e+00,1.74667e-01,2.29183e-01,1.63299e-03
1.58586e+00,7.46316e+00,1.57000e-01,9.50147e-16,3.57771e-03
1.64394e+00,7.22836e+00,1.45167e-01,2.27843e-01,2.56255e-03
1.70202e+00,2.01153e+00,4.26833e-02,9.32622e-02,1.87341e-03
1.76010e+00,3.97251e+00,7.91167e-02,9.51557e-02,2.42191e-03
1.81818e+00,3.20249e+00,6.97000e-02,4.35765e-01,7.43129e-03
1.87626e+00,4.34357e+00,9.70833e-02,1.89065e-01,4.45215e-03
1.93434e+00,4.80768e+00,9.29333e-02,1.41518e-01,3.27394e-03
1.99242e+00,3.71003e+00,7.16833e-02,8.88695e-02,2.55454e-03
2.05051e+00,5.18783e-01,1.58833e-02,4.62071e-02,9.98833e-04
2.10859e+00,7.64116e-01,2.24000e-02,3.32600e-02,9.16515e-04
2.16667e+00,2.52492e+00,5.48167e-02,7.43220e-02,1.11609e-03
2.22475e+00,2.59831e+00,5.43333e-02,6.22395e-02,5.20256e-04
2.28283e+00,3.05028e+00,6.07500e-02,1.56986e-01,1.76380e-03
2.34091e+00,3.31512e+00,6.43333e-02,1.04677e-01,1.99265e-03
2.39899e+00,2.30040e+00,4.01667e-02,9.92303e-02,3.12261e-03
2.45707e+00,1.72411e+00,4.09000e-02,4.12988e-02,4.06694e-03
2.51515e+00,1.72411e+00,2.80667e-02,4.12988e-02,2.42212e-04
2.57323e+00,2.17724e+00,2.71500e-02,4.66084e-01,1.69912e-03
2.63131e+00,2.32547e+00,3.26167e-02,1.62300e-01,2.94307e-03
2.68939e+00,1.51998e+00,2.40667e-02,2.18107e-01,1.28944e-03
2.74747e+00,9.24755e-01,1.74500e-02,4.28749e-02,5.68331e-04
2.80556e+00,1.39185e+00,2.17167e-02,9.68008e-02,9.08662e-04
2.86364e+00,1.87310e+00,3.95667e-02,5.51358e-02,1.20775e-03
2.92172e+00,7.44160e-01,1.80833e-02,5.08136e-02,1.33629e-03
2.97980e+00,1.71610e+00,3.70000e-02,5.14931e-02,5.36656e-04
3.03788e+00,2.05222e+00,4.24833e-02,7.47358e-02,1.75319e-03
3.09596e+00,2.40667e+00,4.29667e-02,7.22141e-02,2.30536e-03
3.15404e+00,2.04043e+00,3.60333e-02,8.88148e-02,1.47739e-03
3.21212e+00,2.16698e+00,3.28333e-02,5.11252e-01,2.58741e-03
3.27020e+00,6.60385e+00,1.27500e-01,0.00000e+00,5.54076e-03
3.32828e+00,6.27776e+00,8.92833e-02,2.98982e-01,3.69021e-03
3.38636e+00,5.41967e+00,1.14000e-01,3.17996e-01,8.55570e-03
3.44444e+00,2.52842e+00,5.89667e-02,9.20780e-02,1.07455e-03
3.50253e+00,1.90135e+00,4.70667e-02,5.42742e-02,1.58703e-03
3.56061e+00,2.36987e+00,5.66167e-02,8.63037e-02,1.41763e-03
3.61869e+00,8.87692e-01,2.99000e-02,6.16309e-02,8.17313e-04
3.67677e+00,7.41855e-01,2.77500e-02,1.37904e-03,4.32435e-04
3.73485e+00,8.47192e-01,2.85333e-02,2.07249e-02,6.21825e-04
3.79293e+00,4.11152e-01,7.95500e-02,7.25156e-02,1.95974e-02
3.85101e+00,3.89464e-01,2.17500e-02,2.70866e-02,3.72827e-04
3.90909e+00,9.56610e-01,3.28000e-02,0.00000e+00,6.00000e-04
3.96717e+00,1.03357e+00,3.50000e-02,8.86743e-02,2.11755e-03
4.02525e+00,8.23701e-01,3.42000e-02,4.97265e-02,5.76194e-04
4.08333e+00,4.03783e-01,4.22167e-02,1.89671e-02,5.16737e-03
4.14141e+00,4.25892e-01,3.21167e-02,3.41896e-02,8.42417e-04
