Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,7.08970e+00,1.96333e-01,1.69824e-01,3.26599e-03
3.08081e-01,7.14780e+00,1.74833e-01,0.00000e+00,3.65605e-03
3.66162e-01,7.17356e+00,1.53667e-01,9.50147e-16,5.75036e-03
4.24242e-01,7.22537e+00,1.94667e-01,0.00000e+00,2.16025e-03
4.82323e-01,6.97003e+00,1.93167e-01,0.00000e+00,3.31160e-03
5.40404e-01,6.96423e+00,1.82667e-01,2.04996e-01,4.22690e-03
5.98485e-01,7.12607e+00,1.95167e-01,2.59511e-01,3.65605e-03
6.56566e-01,7.32302e+00,1.87833e-01,1.75412e-01,3.65605e-03
7.14646e-01,7.68108e+00,2.05500e-01,0.00000e+00,2.94958e-03
7.72727e-01,8.36571e+00,2.33833e-01,2.00389e-01,3.48807e-03
8.30808e-01,6.98098e+00,2.27833e-01,2.09471e-01,7.19491e-03
8.88889e-01,7.40964e+00,1.86000e-01,0.00000e+00,3.16228e-03
9.46970e-01,7.59863e+00,1.84500e-01,0.00000e+00,2.07364e-03
1.00505e+00,7.74760e+00,1.77500e-01,1.78596e-01,1.87083e-03
1.06313e+00,8.17720e+00,1.75000e-01,1.88500e-01,2.09762e-03
1.12121e+00,8.59963e+00,1.92000e-01,1.98239e-01,4.24264e-03
1.17929e+00,8.64938e+00,1.79167e-01,0.00000e+00,9.83192e-04
1.23737e+00,7.06518e+00,1.40333e-01,2.07968e-01,1.36626e-03
1.29545e+00,8.07788e+00,1.79000e-01,0.00000e+00,2.09762e-03
1.35354e+00,7.74871e+00,1.85000e-01,2.32506e-01,3.40588e-03
1.41162e+00,6.01413e+00,1.21000e-01,9.50147e-16,6.32456e-04
1.46970e+00,7.69315e+00,1.59667e-01,2.30840e-01,1.50555e-03
1.52778e+00,7.40347e+00,1.48167e-01,2.17926e-01,2.22860e-03
1.58586e+00,6.96423e+00,1.37667e-01,2.04996e-01,1.96638e-03
1.64394e+00,6.87329e+00,1.35167e-01,2.16651e-01,2.13698e-03
1.70202e+00,7.04567e+00,1.40333e-01,9.50147e-16,5.16398e-04
1.76010e+00,5.54440e+00,1.06333e-01,1.27809e-01,8.16497e-04
1.81818e+00,6.62765e+00,1.29000e-01,9.50147e-16,1.54919e-03
1.87626e+00,6.46908e+00,1.38000e-01,1.90849e-01,2.09762e-03
1.93434e+00,5.84672e+00,1.16500e-01,2.12921e-01,3.44964e-03
1.99242e+00,6.68601e+00,1.27333e-01,2.00620e-01,2.06559e-03
2.05051e+00,5.09255e+00,9.95333e-02,1.49903e-01,9.66782e-04
2.10859e+00,3.45770e+00,7.18500e-02,1.25919e-01,2.15476e-03
