Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,7.77772e-02,3.07167e-02,1.41871e-02,1.26557e-03
3.33333e-01,7.12213e+00,1.79667e-01,9.50147e-16,1.63299e-03
4.16667e-01,7.14780e+00,1.71667e-01,0.00000e+00,2.73252e-03
5.00000e-01,6.82119e+00,1.97167e-01,0.00000e+00,1.32916e-03
5.83333e-01,6.85554e+00,1.70833e-01,1.58034e-01,1.05341e-02
6.66667e-01,7.19942e+00,1.68000e-01,9.50147e-16,2.36643e-03
7.50000e-01,8.07788e+00,2.43667e-01,0.00000e+00,6.15359e-03
8.33333e-01,6.99805e+00,1.51500e-01,2.20584e-01,2.07364e-03
9.16667e-01,6.56586e+00,1.42333e-01,1.51355e-01,1.03280e-03
1.00000e+00,6.50950e+00,1.27500e-01,0.00000e+00,1.04881e-03
1.08333e+00,8.18814e+00,1.91833e-01,2.41022e-01,2.40139e-03
1.16667e+00,8.83076e+00,1.91667e-01,2.59941e-01,1.36626e-03
1.25000e+00,8.01997e+00,2.02500e-01,1.90029e-15,3.33167e-03
1.33333e+00,7.99558e+00,1.81833e-01,2.91176e-01,1.47196e-03
1.41667e+00,7.73976e+00,1.61167e-01,2.43964e-01,1.94079e-03
1.50000e+00,7.21073e+00,1.40833e-01,2.16366e-01,9.83192e-04
1.58333e+00,6.46550e+00,1.25167e-01,2.03797e-01,1.94079e-03
1.66667e+00,5.90690e+00,1.04000e-01,0.00000e+00,1.09545e-03
1.75000e+00,6.41915e+00,1.22333e-01,2.02337e-01,1.75119e-03
1.83333e+00,7.38304e+00,1.54167e-01,9.50147e-16,2.92689e-03
1.91667e+00,5.68005e+00,1.06167e-01,1.79039e-01,1.60208e-03
2.00000e+00,3.57100e+00,6.83000e-02,1.12560e-01,1.85365e-03
2.08333e+00,2.30136e+00,4.54500e-02,0.00000e+00,3.08221e-04
2.16667e+00,1.87644e+00,4.28667e-02,8.81431e-02,1.89702e-03
2.25000e+00,1.12379e+00,2.56167e-02,3.30794e-02,3.86868e-04
2.33333e+00,2.23665e+00,4.65167e-02,1.31234e-01,2.23196e-03
2.41667e+00,1.21686e+00,2.63167e-02,5.24909e-02,1.20402e-03
2.50000e+00,4.72562e-01,1.33500e-02,4.98925e-02,9.04986e-04
2.58333e+00,1.12818e+00,2.54167e-02,7.47648e-02,1.54844e-03
2.66667e+00,2.38307e-01,9.10000e-03,1.31300e-02,4.77828e-04
2.75000e+00,3.92116e-01,1.05167e-02,1.23597e-02,1.94079e-04
