Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,7.02037e+00,2.00000e-01,9.50147e-16,4.60435e-03
3.08081e-01,7.28898e+00,1.89000e-01,2.18712e-01,1.09545e-03
3.66162e-01,7.17356e+00,1.57500e-01,9.50147e-16,1.87083e-03
4.24242e-01,7.22537e+00,2.25500e-01,0.00000e+00,1.58335e-02
4.82323e-01,6.97003e+00,1.93500e-01,0.00000e+00,6.15630e-03
5.40404e-01,6.70698e+00,1.97333e-01,3.45182e-01,4.58984e-03
5.98485e-01,7.47381e+00,2.05333e-01,1.72286e-01,3.72380e-03
6.56566e-01,7.25542e+00,2.03333e-01,2.64221e-01,3.82971e-03
7.14646e-01,7.68108e+00,2.21167e-01,0.00000e+00,2.56255e-03
7.72727e-01,8.28390e+00,2.56000e-01,1.90029e-15,8.09938e-03
8.30808e-01,7.04859e+00,2.00167e-01,2.22178e-01,5.41910e-03
8.88889e-01,7.40964e+00,1.92833e-01,0.00000e+00,2.22860e-03
9.46970e-01,7.58953e+00,1.83833e-01,1.40930e-02,2.31661e-03
1.00505e+00,7.72913e+00,1.81333e-01,1.83059e-01,3.32666e-03
1.06313e+00,7.79242e+00,1.63333e-01,0.00000e+00,1.50555e-03
1.12121e+00,8.41266e+00,1.96833e-01,2.70940e-01,2.40139e-03
1.17929e+00,9.04387e+00,2.15667e-01,2.08479e-01,2.94392e-03
1.23737e+00,7.97828e+00,1.77167e-01,3.47275e-01,3.54495e-03
1.29545e+00,7.97383e+00,1.92000e-01,1.83812e-01,2.75681e-03
1.35354e+00,7.72088e+00,1.80000e-01,2.31672e-01,2.96648e-03
1.41162e+00,7.91666e+00,1.81833e-01,1.82495e-01,1.94079e-03
1.46970e+00,7.51705e+00,1.57500e-01,0.00000e+00,1.37840e-03
1.52778e+00,7.73976e+00,1.58500e-01,2.43964e-01,8.36660e-04
1.58586e+00,7.49006e+00,1.52833e-01,9.50147e-16,2.63944e-03
1.64394e+00,2.88803e+00,6.03667e-02,9.10331e-02,1.40238e-03
1.70202e+00,2.54012e+00,5.42000e-02,7.62182e-02,7.82304e-04
1.76010e+00,2.58932e+00,5.50333e-02,7.62182e-02,1.53840e-03
1.81818e+00,1.87960e+00,4.65333e-02,4.50233e-02,2.06365e-03
1.87626e+00,2.22832e+00,6.14333e-02,1.24948e-01,4.57326e-03
1.93434e+00,2.82991e+00,5.92667e-02,2.68790e-01,4.92450e-03
1.99242e+00,5.84349e+00,1.15500e-01,0.00000e+00,1.37840e-03
2.05051e+00,2.86375e+00,5.99833e-02,8.42957e-02,1.63514e-03
2.10859e+00,1.83463e+00,4.23500e-02,0.00000e+00,5.64801e-04
2.16667e+00,1.43852e+00,3.71000e-02,3.31608e-02,8.43801e-04
2.22475e+00,9.26279e-01,2.45833e-02,5.38759e-02,9.74508e-04
