Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,6.97003e+00,1.97333e-01,0.00000e+00,3.07679e-03
3.22785e-01,7.12213e+00,2.01167e-01,9.50147e-16,2.56255e-03
3.95570e-01,7.14780e+00,1.87833e-01,0.00000e+00,2.31661e-03
4.68354e-01,6.97003e+00,2.00000e-01,0.00000e+00,9.18695e-03
5.41139e-01,6.84861e+00,2.08333e-01,2.15874e-01,1.11295e-02
6.13924e-01,7.44697e+00,2.15833e-01,1.71668e-01,3.97073e-03
6.86709e-01,7.59633e+00,2.03333e-01,3.43477e-01,6.15359e-03
7.59494e-01,8.07788e+00,3.88000e-01,0.00000e+00,2.98931e-02
8.32278e-01,6.35667e+00,1.32500e-01,1.46533e-01,1.33079e-02
9.05063e-01,7.06424e+00,1.64167e-01,1.69213e-01,1.05151e-02
9.77848e-01,7.34162e+00,1.97167e-01,2.20292e-01,2.63944e-03
1.05063e+00,7.80466e+00,1.80000e-01,2.34184e-01,5.83095e-03
1.12342e+00,8.16554e+00,1.83000e-01,0.00000e+00,1.54919e-03
1.19620e+00,9.05598e+00,2.16333e-01,2.66569e-01,5.16398e-03
1.26899e+00,7.79565e+00,1.86167e-01,2.45725e-01,3.86868e-03
1.34177e+00,7.91666e+00,1.72167e-01,1.82495e-01,2.31661e-03
1.41456e+00,7.96246e+00,1.84167e-01,0.00000e+00,4.40076e-03
1.48734e+00,7.78593e+00,1.66333e-01,2.29183e-01,4.92612e-03
1.56013e+00,6.10710e+00,1.21333e-01,2.86872e-01,4.13118e-03
1.63291e+00,4.87737e+00,9.45500e-02,1.43569e-01,2.42961e-03
1.70570e+00,2.44103e+00,5.16333e-02,1.89157e-01,3.31703e-03
1.77848e+00,2.28478e+00,4.84333e-02,3.04602e-01,5.70882e-03
1.85127e+00,1.74643e+00,6.10667e-02,8.98818e-02,2.83525e-03
1.92405e+00,3.58387e+00,7.12500e-02,1.12967e-01,1.23410e-03
1.99684e+00,3.96830e+00,7.21000e-02,1.19072e-01,1.67332e-03
2.06962e+00,8.37016e-01,1.98833e-02,5.57358e-02,7.44088e-04
2.14241e+00,2.03197e+00,4.93333e-02,4.68404e-02,2.71784e-03
2.21519e+00,1.75354e+00,3.79500e-02,5.26168e-02,7.81665e-04
2.28797e+00,2.28486e+00,4.81500e-02,0.00000e+00,6.97854e-04
2.36076e+00,2.60490e+00,5.39000e-02,7.81620e-02,1.93907e-03
2.43354e+00,2.94046e+00,8.04667e-02,9.26851e-02,2.46932e-02
2.50633e+00,3.39418e+00,6.11167e-02,0.00000e+00,2.41944e-03
2.57911e+00,4.35978e+00,8.11167e-02,2.02136e-01,7.78246e-04
2.65190e+00,2.40290e+00,4.86500e-02,0.00000e+00,3.93700e-04
2.72468e+00,3.95877e+00,7.13333e-02,1.16528e-01,1.44868e-03
2.79747e+00,3.63080e+00,7.06500e-02,8.69712e-02,8.21584e-04
2.87025e+00,6.64600e+00,1.40167e-01,1.95630e-01,3.31160e-03
2.94304e+00,4.35679e+00,7.81167e-02,1.00433e-01,1.27030e-03
3.01582e+00,3.97751e+00,6.32667e-02,2.40827e-01,9.43751e-04
3.08861e+00,4.43200e+00,6.92333e-02,1.61401e-01,1.42922e-03
3.16139e+00,4.69461e+00,6.88500e-02,1.70964e-01,1.33079e-03
3.23418e+00,6.87424e+00,1.33333e-01,2.50340e-01,4.27395e-03
3.30696e+00,2.93679e+00,4.69500e-02,8.64465e-02,2.81123e-03
3.37975e+00,4.99579e+00,1.09000e-01,1.49903e-01,1.26491e-03
3.45253e+00,2.41791e+00,5.81500e-02,5.79178e-02,1.00548e-03
3.52532e+00,4.08533e-01,2.14167e-02,3.41203e-02,4.40076e-04
3.59810e+00,7.20340e-01,2.68167e-02,2.62327e-02,4.79236e-04
3.67089e+00,6.86472e-01,2.65667e-02,2.02066e-02,4.45720e-04
3.74367e+00,6.57413e-01,2.57167e-02,3.96030e-02,4.53505e-04
3.81646e+00,1.33746e+00,6.47000e-02,6.98936e-02,5.36805e-03
3.88924e+00,1.43866e+00,4.23167e-02,8.68511e-02,7.98540e-04
3.96203e+00,9.22805e-01,3.44500e-02,0.00000e+00,3.72827e-04
4.03481e+00,6.95991e-01,3.26500e-02,3.39790e-02,3.88587e-04
4.10759e+00,9.64894e-01,6.30833e-02,2.22428e-02,6.87268e-03
4.18038e+00,2.19815e-01,3.05333e-02,1.60250e-02,2.94392e-04
4.25316e+00,7.05674e-01,4.65500e-02,2.11744e-02,4.46094e-04
4.32595e+00,8.17357e-01,4.71000e-02,4.03349e-02,4.85798e-04
4.39873e+00,1.30874e+00,1.19633e-01,4.12523e-02,5.71907e-02
4.47152e+00,1.64032e+00,6.19833e-02,7.07572e-02,1.29833e-03
4.54430e+00,1.17619e+00,5.50167e-02,3.52927e-02,1.03037e-03
4.61709e+00,1.34527e+00,5.43667e-02,3.95994e-02,8.04156e-04
4.68987e+00,1.43852e+00,5.62333e-02,3.31608e-02,3.82971e-04
4.76266e+00,1.53895e+00,5.74500e-02,5.60441e-02,5.28205e-04
4.83544e+00,1.75354e+00,6.72500e-02,5.26168e-02,1.62696e-03
4.90823e+00,1.72053e+00,6.63833e-02,6.26569e-02,1.23841e-03
4.98101e+00,1.63768e+00,6.77833e-02,4.91404e-02,1.24807e-03
5.05380e+00,1.81200e+00,6.93333e-02,7.88723e-02,2.31229e-03
5.12658e+00,2.34962e+00,7.96500e-02,6.91632e-02,1.16576e-03
5.19937e+00,2.43874e+00,8.06667e-02,7.68707e-02,1.32615e-03
5.27215e+00,1.67611e+00,6.52667e-02,7.23013e-02,7.63326e-04
5.34494e+00,1.99301e+00,3.78000e-01,2.81524e-01,5.62139e-03
5.41772e+00,2.21584e+00,5.60000e-01,3.62452e-01,2.23338e-02
5.49051e+00,2.39563e+00,5.74833e-01,4.37304e-01,9.92807e-03
5.56329e+00,2.09986e+00,6.41500e-01,1.80536e-01,1.17090e-02
5.63608e+00,2.39344e+00,6.09667e-01,3.78274e-01,7.65942e-03
5.70886e+00,2.11948e+00,6.17500e-01,2.37872e-01,4.03733e-03
5.78165e+00,2.17700e+00,6.51000e-01,3.80156e-01,2.07461e-02
5.85443e+00,1.80896e+00,6.52500e-01,2.62637e-01,8.01873e-03
5.92722e+00,1.75095e+00,6.78167e-01,3.39404e-01,9.19601e-03
6.00000e+00,1.63266e+00,6.86500e-01,9.88279e-02,9.22497e-03
