Frequency (GHz),Peak (mV),Noise (mV),SigPeak (mV),SigNoise (mV)
2.50000e-01,6.97841e+00,1.89333e-01,1.29745e-02,1.21106e-03
3.08081e-01,7.19247e+00,1.92833e-01,1.72286e-01,2.40139e-03
3.66162e-01,7.14780e+00,1.66000e-01,0.00000e+00,2.19089e-03
4.24242e-01,7.19942e+00,1.72833e-01,9.50147e-16,2.31661e-03
4.82323e-01,6.94500e+00,1.52167e-01,0.00000e+00,9.83192e-04
5.40404e-01,6.55104e+00,1.68167e-01,1.92835e-01,2.04124e-03
5.98485e-01,7.03431e+00,1.73000e-01,3.06186e-01,2.44949e-03
6.56566e-01,7.36808e+00,1.60333e-01,2.21085e-01,1.86190e-03
7.14646e-01,7.80466e+00,2.05167e-01,2.34184e-01,3.48807e-03
7.72727e-01,8.25415e+00,2.17167e-01,0.00000e+00,2.48328e-03
8.30808e-01,7.22045e+00,1.98500e-01,2.54718e-01,9.97497e-03
8.88889e-01,6.97003e+00,1.50667e-01,0.00000e+00,1.96638e-03
9.46970e-01,5.88079e+00,1.26167e-01,1.73106e-01,2.40139e-03
1.00505e+00,7.33010e+00,1.49000e-01,9.50147e-16,3.52136e-03
1.06313e+00,7.81296e+00,1.76667e-01,1.87149e-01,2.06559e-03
1.12121e+00,8.37727e+00,2.04500e-01,2.64058e-01,8.36660e-04
1.17929e+00,9.09620e+00,2.25333e-01,0.00000e+00,3.77712e-03
1.23737e+00,7.72088e+00,1.96500e-01,2.31672e-01,3.08221e-03
1.29545e+00,7.94519e+00,1.91833e-01,1.83153e-01,3.12517e-03
1.35354e+00,7.92107e+00,1.80667e-01,3.44786e-01,1.75119e-03
1.41162e+00,7.51705e+00,1.59333e-01,0.00000e+00,3.01109e-03
1.46970e+00,7.49006e+00,1.51667e-01,9.50147e-16,1.03280e-03
1.52778e+00,7.21073e+00,1.44000e-01,2.16366e-01,2.68328e-03
1.58586e+00,7.04567e+00,1.35333e-01,9.50147e-16,1.96638e-03
1.64394e+00,7.81636e-01,2.13500e-02,5.17994e-02,7.84219e-04
1.70202e+00,2.81232e+00,5.86333e-02,6.73655e-02,1.56674e-03
1.76010e+00,6.86472e+00,1.30167e-01,2.02069e-01,3.25064e-03
1.81818e+00,6.97003e+00,1.38333e-01,0.00000e+00,2.80476e-03
1.87626e+00,7.01359e+00,1.43333e-01,1.68002e-01,4.17931e-03
1.93434e+00,3.63950e+00,7.16500e-02,8.38971e-02,1.84255e-03
1.99242e+00,3.57100e+00,6.97667e-02,1.12560e-01,8.64099e-04
2.05051e+00,3.48992e+00,6.91667e-02,8.35958e-02,1.40238e-03
2.10859e+00,9.25237e-01,2.69000e-02,2.21627e-02,2.01196e-03
2.16667e+00,2.06391e+00,4.88333e-02,4.94385e-02,3.03886e-03
2.22475e+00,2.12446e+00,4.40333e-02,6.25353e-02,2.10016e-03
2.28283e+00,1.32724e+00,2.98167e-02,1.22205e-01,2.28859e-03
2.34091e+00,1.95452e+00,4.24167e-02,9.54219e-02,1.32878e-03
2.39899e+00,9.47691e-01,2.10000e-02,2.18461e-02,2.19089e-04
2.45707e+00,3.64074e-01,1.68333e-02,3.04679e-02,1.62686e-03
2.51515e+00,7.19339e-01,1.50500e-02,5.85508e-02,4.72229e-04
2.57323e+00,7.61366e-01,1.22667e-02,1.83885e-01,8.50098e-04
2.63131e+00,7.98692e-01,1.58833e-02,5.29297e-02,1.06849e-03
2.68939e+00,2.72728e-01,8.06167e-03,1.86227e-02,1.89675e-04
2.74747e+00,3.31040e-01,8.99000e-03,3.20763e-02,5.82203e-04
2.80556e+00,7.14481e-01,1.31167e-02,3.08199e-02,2.13698e-04
2.86364e+00,1.25993e+00,2.73333e-02,5.48417e-02,6.94742e-04
2.92172e+00,4.94113e-01,1.35667e-02,7.31248e-02,1.14833e-03
2.97980e+00,7.05978e-01,1.70167e-02,9.18956e-02,1.63880e-03
3.03788e+00,2.78853e-01,1.01350e-02,5.36478e-02,8.45003e-04
3.09596e+00,1.05390e+00,2.08500e-02,9.38684e-02,1.75014e-03
3.15404e+00,5.01876e-01,1.17500e-02,3.84007e-02,3.83406e-04
3.21212e+00,3.82999e-01,1.00083e-02,1.33418e-01,1.01498e-03
3.27020e+00,5.45094e-01,1.50667e-02,4.98371e-02,1.05767e-03
3.32828e+00,4.85313e-01,1.25000e-02,1.65598e-01,6.26099e-04
3.38636e+00,7.78185e-01,2.83333e-02,5.78509e-02,2.45330e-03
3.44444e+00,8.85074e-01,2.88167e-02,2.04027e-02,6.01387e-04
3.50253e+00,1.30840e+00,3.71333e-02,7.61022e-02,1.58955e-03
3.56061e+00,6.16912e-01,2.40333e-02,3.61970e-02,1.77726e-03
3.61869e+00,2.20084e-01,1.95167e-02,1.02039e-02,6.58534e-04
3.67677e+00,9.46160e-02,1.65667e-02,1.79332e-02,5.53775e-04
3.73485e+00,1.97175e-01,1.73500e-02,1.86042e-02,2.42899e-04
3.79293e+00,2.10947e-01,6.17667e-02,4.33399e-02,3.55903e-03
3.85101e+00,3.60337e-01,2.09000e-02,3.68873e-02,5.51362e-04
3.90909e+00,4.29667e-01,2.46833e-02,4.95173e-02,1.36149e-03
3.96717e+00,1.25203e-01,1.95833e-02,1.23790e-02,2.71416e-04
4.02525e+00,7.94212e-02,2.10833e-02,1.85972e-02,2.99444e-04
4.08333e+00,1.84187e-01,3.73500e-02,2.99839e-02,2.62812e-03
4.14141e+00,1.84633e-01,2.68000e-02,1.50282e-02,8.94427e-05
4.19949e+00,7.90768e-02,3.09167e-02,8.55465e-03,2.13698e-04
4.25758e+00,1.22084e-01,3.60167e-02,1.38404e-02,7.25029e-04
4.31566e+00,7.23758e-02,3.35500e-02,4.69702e-03,6.56506e-04
4.37374e+00,9.98693e-02,3.79833e-02,1.36929e-02,9.80646e-04
4.43182e+00,9.01811e-02,3.88167e-02,1.27521e-02,5.52871e-04
4.48990e+00,7.68354e-02,3.59500e-02,1.43615e-02,5.89067e-04
4.54798e+00,7.98020e-02,3.53667e-02,1.60871e-02,7.33939e-04
4.60606e+00,1.26166e-01,3.21000e-02,1.25513e-02,6.54217e-04
4.66414e+00,3.14255e-01,3.57000e-02,3.97214e-01,4.07676e-03
4.72222e+00,1.62094e-01,3.23833e-02,1.15514e-02,8.86378e-04
4.78030e+00,9.03948e-02,3.26833e-02,1.26391e-02,3.86868e-04
4.83838e+00,1.51116e-01,3.72833e-02,1.60433e-02,5.07609e-04
4.89646e+00,1.53839e-01,3.56000e-02,2.81412e-02,4.97996e-04
4.95455e+00,9.59277e-02,3.73333e-02,2.85141e-02,5.71548e-04
5.01263e+00,8.78224e-02,3.95000e-02,1.87558e-02,3.89872e-04
5.07071e+00,6.90002e-02,3.57500e-02,7.46266e-03,3.20936e-04
5.12879e+00,5.63845e-02,3.62333e-02,6.85128e-03,6.65332e-04
5.18687e+00,1.48468e-01,4.02333e-02,4.55511e-02,3.54833e-03
5.24495e+00,1.05433e-01,3.67667e-02,5.73995e-02,3.57864e-03
5.30303e+00,5.16168e-02,3.56500e-02,5.24641e-03,5.89067e-04
5.36111e+00,9.19951e-01,5.32167e-01,1.02932e-01,1.61297e-02
5.41919e+00,1.10765e+00,5.59833e-01,6.67250e-02,9.45339e-03
5.47727e+00,9.07620e-01,5.35667e-01,2.24738e-01,1.18603e-02
5.53535e+00,9.69198e-01,5.33500e-01,3.38932e-01,5.82237e-03
5.59343e+00,9.51438e-01,5.50500e-01,2.77907e-01,1.73407e-02
5.65152e+00,9.39199e-01,5.91167e-01,1.29132e-01,1.07409e-02
5.70960e+00,1.06858e+00,5.97833e-01,1.96119e-01,1.21065e-02
5.76768e+00,9.09441e-01,6.19000e-01,1.08302e-01,7.97496e-03
5.82576e+00,1.12070e+00,6.21167e-01,9.60322e-02,1.04770e-02
5.88384e+00,1.24507e+00,6.98833e-01,1.32346e-01,1.04304e-01
5.94192e+00,1.41381e+00,6.47500e-01,6.58393e-01,1.67541e-02
6.00000e+00,1.10394e+00,6.73667e-01,1.49887e-01,2.09921e-02
