Frequency (GHz),Peak (mV),Noise (mV)
2.50000e-01,6.89000e+00,2.10000e-01
3.33333e-01,6.82000e+00,1.92000e-01
4.16667e-01,7.13000e+00,2.26000e-01
5.00000e-01,6.62000e+00,2.25000e-01
5.83333e-01,6.81000e+00,2.03000e-01
6.66667e-01,7.02000e+00,2.07000e-01
7.50000e-01,7.97000e+00,2.52000e-01
8.33333e-01,7.02000e+00,1.99000e-01
9.16667e-01,7.28000e+00,2.02000e-01
1.00000e+00,7.07000e+00,1.64000e-01
1.08333e+00,8.08000e+00,1.98000e-01
1.16667e+00,8.56000e+00,2.19000e-01
1.25000e+00,7.52000e+00,2.06000e-01
1.33333e+00,4.27000e+00,1.23000e-01
1.41667e+00,7.43000e+00,1.60000e-01
1.50000e+00,5.52000e+00,1.15000e-01
1.58333e+00,3.92000e+00,8.21000e-02
1.66667e+00,6.41000e+00,1.34000e-01
1.75000e+00,3.83000e+00,8.07000e-02
1.83333e+00,4.54000e+00,1.10000e-01
1.91667e+00,2.64000e+00,5.72000e-02
2.00000e+00,2.85000e+00,6.34000e-02
2.08333e+00,3.50000e+00,7.30000e-02
2.16667e+00,1.97000e+00,6.01000e-02
2.25000e+00,2.46000e+00,5.29000e-02
2.33333e+00,3.39000e+00,7.31000e-02
2.41667e+00,1.74000e+00,6.10000e-02
2.50000e+00,1.75000e+00,3.99000e-02
2.58333e+00,2.86000e+00,6.57000e-02
2.66667e+00,2.62000e+00,5.37000e-02
2.75000e+00,1.74000e+00,3.36000e-02
2.83333e+00,2.22000e+00,5.22000e-02
2.91667e+00,2.67000e+00,6.05000e-02
3.00000e+00,1.36000e+00,3.49000e-02
3.08333e+00,1.25000e+00,2.83000e-02
3.16667e+00,2.42000e+00,5.01000e-02
3.25000e+00,3.29000e+00,7.68000e-02
3.33333e+00,2.07000e+00,4.25000e-02
3.41667e+00,2.51000e+00,6.03000e-02
3.50000e+00,2.14000e+00,5.42000e-02
3.58333e+00,5.29000e-01,2.38000e-02
3.66667e+00,9.01000e-01,3.04000e-02
3.75000e+00,7.62000e-01,3.20000e-02
3.83333e+00,7.23000e-01,4.92000e-02
3.91667e+00,2.04000e-01,2.23000e-02
4.00000e+00,5.61000e-01,3.17000e-02
4.08333e+00,3.61000e-01,5.02000e-02
4.16667e+00,3.71000e-01,3.46000e-02
4.25000e+00,7.56000e-01,4.60000e-02
4.33333e+00,4.85000e-01,3.95000e-02
4.41667e+00,6.47000e-01,8.18000e-02
4.50000e+00,2.30000e-01,4.69000e-02
4.58333e+00,3.20000e-01,4.72000e-02
4.66667e+00,3.89000e-01,4.07000e-02
4.75000e+00,1.76000e-01,3.55000e-02
4.83333e+00,2.08000e-01,4.89000e-02
4.91667e+00,3.07000e-01,4.61000e-02
5.00000e+00,1.41000e-01,4.44000e-02
5.08333e+00,2.72000e-01,4.42000e-02
5.16667e+00,4.78000e-01,4.56000e-02
5.25000e+00,3.91000e-01,5.06000e-02
5.33333e+00,2.67000e-01,1.67000e-01
5.41667e+00,1.08000e+00,6.25000e-01
5.50000e+00,8.49000e-01,5.99000e-01
5.58333e+00,1.88000e+00,6.75000e-01
5.66667e+00,1.03000e+00,6.47000e-01
5.75000e+00,2.72000e+00,7.95000e-01
5.83333e+00,9.29000e-01,6.74000e-01
5.91667e+00,1.20000e+00,6.90000e-01
6.00000e+00,1.15000e+00,6.93000e-01
