Frequency (GHz),Peak (mV),Noise (mV)
2.50000e-01,6.87000e+00,1.47000e-01
5.52632e-01,6.50000e+00,1.60000e-01
8.55263e-01,7.21000e+00,1.58000e-01
1.15789e+00,4.26000e+00,7.92000e-02
1.46053e+00,3.27000e+00,4.89000e-02
1.76316e+00,5.85000e+00,9.24000e-02
2.06579e+00,1.20000e+00,2.24000e-02
2.36842e+00,5.53000e-01,1.33000e-02
2.67105e+00,1.12000e-01,5.15000e-03
2.97368e+00,6.98000e-01,1.46000e-02
3.27632e+00,1.00000e+00,2.10000e-02
3.57895e+00,5.97000e-01,1.63000e-02
3.88158e+00,2.02000e-01,1.21000e-02
4.18421e+00,6.31000e-02,1.66000e-02
4.48684e+00,1.44000e-01,2.25000e-02
4.78947e+00,5.93000e-02,1.99000e-02
5.09211e+00,1.02000e-01,2.24000e-02
5.39474e+00,6.87000e-01,3.00000e-01
5.69737e+00,8.65000e-01,3.99000e-01
6.00000e+00,7.54000e-01,3.94000e-01
