Frequency (GHz),Peak (mV),Noise (mV)
2.50000e-01,6.97000e+00,2.08000e-01
3.33333e-01,7.13000e+00,1.80000e-01
4.16667e-01,7.14000e+00,2.32000e-01
5.00000e-01,6.58000e+00,1.86000e-01
5.83333e-01,6.98000e+00,1.92000e-01
6.66667e-01,7.13000e+00,2.19000e-01
7.50000e-01,8.01000e+00,2.47000e-01
8.33333e-01,7.14000e+00,1.85000e-01
9.16667e-01,6.97000e+00,1.70000e-01
1.00000e+00,5.42000e+00,1.17000e-01
1.08333e+00,7.13000e+00,1.54000e-01
1.16667e+00,8.90000e+00,2.18000e-01
1.25000e+00,3.77000e+00,8.09000e-02
1.33333e+00,7.86000e+00,1.87000e-01
1.41667e+00,6.43000e+00,1.37000e-01
1.50000e+00,3.28000e+00,8.29000e-02
1.58333e+00,4.86000e+00,1.04000e-01
1.66667e+00,4.11000e+00,8.45000e-02
1.75000e+00,7.29000e+00,1.49000e-01
1.83333e+00,6.57000e+00,1.52000e-01
1.91667e+00,4.38000e+00,9.77000e-02
2.00000e+00,3.06000e+00,6.46000e-02
2.08333e+00,3.24000e-01,1.51000e-02
2.16667e+00,2.33000e+00,6.43000e-02
2.25000e+00,9.67000e-01,2.51000e-02
2.33333e+00,1.36000e+00,3.24000e-02
2.41667e+00,1.63000e+00,6.46000e-02
2.50000e+00,1.71000e+00,3.72000e-02
2.58333e+00,1.46000e+00,3.52000e-02
2.66667e+00,7.84000e-01,1.84000e-02
2.75000e+00,7.60000e-01,1.60000e-02
2.83333e+00,1.01000e+00,2.38000e-02
2.91667e+00,1.62000e+00,3.69000e-02
3.00000e+00,2.36000e+00,5.50000e-02
3.08333e+00,3.46000e+00,6.82000e-02
3.16667e+00,3.91000e+00,7.80000e-02
3.25000e+00,4.81000e+00,1.10000e-01
3.33333e+00,3.58000e+00,6.48000e-02
3.41667e+00,3.20000e+00,7.60000e-02
3.50000e+00,3.18000e+00,7.58000e-02
3.58333e+00,3.19000e+00,7.63000e-02
3.66667e+00,1.77000e+00,4.73000e-02
3.75000e+00,1.82000e+00,4.90000e-02
3.83333e+00,8.34000e-01,4.63000e-02
3.91667e+00,6.19000e-01,3.01000e-02
4.00000e+00,2.46000e-01,2.62000e-02
4.08333e+00,3.99000e-01,5.48000e-02
4.16667e+00,2.80000e-01,3.22000e-02
4.25000e+00,1.71000e-01,3.54000e-02
4.33333e+00,3.28000e-01,3.79000e-02
4.41667e+00,1.03000e+00,1.16000e-01
4.50000e+00,3.00000e-01,4.24000e-02
4.58333e+00,7.04000e-01,5.17000e-02
4.66667e+00,1.10000e+00,5.31000e-02
4.75000e+00,8.52000e-01,4.90000e-02
4.83333e+00,2.80000e-01,4.52000e-02
4.91667e+00,6.81000e-01,5.28000e-02
5.00000e+00,2.73000e-01,4.60000e-02
5.08333e+00,1.25000e-01,4.26000e-02
5.16667e+00,2.55000e-01,4.66000e-02
5.25000e+00,2.26000e-01,4.08000e-02
5.33333e+00,1.66000e-01,1.63000e-01
5.41667e+00,1.04000e+00,6.40000e-01
5.50000e+00,9.17000e-01,6.00000e-01
5.58333e+00,1.12000e+00,6.57000e-01
5.66667e+00,1.05000e+00,6.71000e-01
5.75000e+00,9.54000e-01,7.02000e-01
5.83333e+00,9.95000e-01,6.92000e-01
5.91667e+00,2.23000e+00,7.93000e-01
6.00000e+00,1.15000e+00,7.51000e-01
