Frequency (GHz),Peak (mV),Noise (mV)
2.50000e-01,1.70000e+01,2.97000e-01
5.52632e-01,2.85000e+01,4.56000e-01
8.55263e-01,3.23000e+01,4.83000e-01
1.15789e+00,1.65000e+01,2.59000e-01
1.46053e+00,2.06000e+00,3.94000e-02
1.76316e+00,7.02000e+00,1.10000e-01
2.06579e+00,7.51000e-01,1.67000e-02
2.36842e+00,6.63000e-01,1.58000e-02
2.67105e+00,2.49000e-01,9.02000e-03
2.97368e+00,6.87000e-01,1.53000e-02
3.27632e+00,1.50000e+00,2.92000e-02
3.57895e+00,7.41000e-01,1.81000e-02
3.88158e+00,3.98000e-01,1.37000e-02
4.18421e+00,1.41000e-01,1.15000e-02
4.48684e+00,1.41000e-01,1.01000e-02
4.78947e+00,3.67000e-02,1.00000e-02
5.09211e+00,8.06000e-02,1.22000e-02
5.39474e+00,1.57000e-01,8.26000e-02
5.69737e+00,2.49000e-01,1.28000e-01
6.00000e+00,2.05000e-01,1.12000e-01
