Frequency (GHz),Peak (mV),Noise (mV)
2.50000e-01,6.72000e+00,1.21000e-01
3.33333e-01,6.83000e+00,1.22000e-01
4.16667e-01,6.85000e+00,1.19000e-01
5.00000e-01,6.50000e+00,1.20000e-01
5.83333e-01,6.73000e+00,1.17000e-01
6.66667e-01,7.01000e+00,1.21000e-01
7.50000e-01,7.57000e+00,1.32000e-01
8.33333e-01,6.74000e+00,1.19000e-01
9.16667e-01,7.00000e+00,1.22000e-01
1.00000e+00,7.25000e+00,1.27000e-01
1.08333e+00,7.81000e+00,1.35000e-01
1.16667e+00,8.40000e+00,1.45000e-01
1.25000e+00,7.57000e+00,1.31000e-01
1.33333e+00,7.46000e+00,1.31000e-01
1.41667e+00,7.43000e+00,1.29000e-01
1.50000e+00,7.40000e+00,1.28000e-01
1.58333e+00,7.38000e+00,1.28000e-01
1.66667e+00,7.35000e+00,1.28000e-01
1.75000e+00,7.33000e+00,1.28000e-01
1.83333e+00,7.30000e+00,1.29000e-01
1.91667e+00,7.39000e+00,1.29000e-01
2.00000e+00,7.29000e+00,1.27000e-01
2.08333e+00,7.19000e+00,1.27000e-01
2.16667e+00,6.84000e+00,1.20000e-01
2.25000e+00,6.78000e+00,1.19000e-01
2.33333e+00,6.06000e+00,9.73000e-02
2.41667e+00,6.69000e+00,1.11000e-01
2.50000e+00,6.63000e+00,1.02000e-01
2.58333e+00,6.34000e+00,1.01000e-01
2.66667e+00,6.22000e+00,8.15000e-02
2.75000e+00,4.89000e+00,5.48000e-02
2.83333e+00,6.25000e+00,9.40000e-02
2.91667e+00,6.75000e+00,1.03000e-01
3.00000e+00,7.32000e+00,1.24000e-01
3.08333e+00,7.21000e+00,9.45000e-02
3.16667e+00,7.09000e+00,9.57000e-02
3.25000e+00,8.74000e+00,1.50000e-01
3.33333e+00,7.28000e+00,8.75000e-02
3.41667e+00,8.78000e+00,1.52000e-01
3.50000e+00,9.25000e+00,1.61000e-01
3.58333e+00,9.33000e+00,1.61000e-01
3.66667e+00,8.98000e+00,1.53000e-01
3.75000e+00,9.34000e+00,1.59000e-01
3.83333e+00,9.43000e+00,1.63000e-01
3.91667e+00,8.88000e+00,1.51000e-01
4.00000e+00,7.91000e+00,1.36000e-01
4.08333e+00,8.54000e+00,1.44000e-01
4.16667e+00,8.09000e+00,1.41000e-01
4.25000e+00,8.15000e+00,1.42000e-01
4.33333e+00,8.44000e+00,1.47000e-01
4.41667e+00,1.07000e+01,1.84000e-01
4.50000e+00,1.01000e+01,1.74000e-01
4.58333e+00,9.73000e+00,1.70000e-01
4.66667e+00,1.07000e+01,1.86000e-01
4.75000e+00,1.08000e+01,1.91000e-01
4.83333e+00,1.18000e+01,2.08000e-01
4.91667e+00,1.30000e+01,2.28000e-01
5.00000e+00,1.17000e+01,2.06000e-01
5.08333e+00,1.14000e+01,1.98000e-01
5.16667e+00,1.21000e+01,2.12000e-01
5.25000e+00,1.20000e+01,2.11000e-01
5.33333e+00,1.13000e+01,2.04000e-01
5.41667e+00,1.28000e+01,2.51000e-01
5.50000e+00,1.26000e+01,2.36000e-01
5.58333e+00,1.02000e+01,1.97000e-01
5.66667e+00,1.16000e+01,2.23000e-01
5.75000e+00,1.37000e+01,2.57000e-01
5.83333e+00,1.16000e+01,2.23000e-01
5.91667e+00,1.05000e+01,2.11000e-01
6.00000e+00,1.26000e+01,2.48000e-01
