Frequency (GHz),Peak (mV),Noise (mV)
2.50000e-01,5.06000e+00,1.31000e-01
3.67347e-01,7.28000e+00,1.54000e-01
4.84694e-01,6.77000e+00,1.45000e-01
6.02041e-01,7.19000e+00,1.60000e-01
7.19388e-01,7.57000e+00,1.84000e-01
8.36735e-01,7.12000e+00,1.54000e-01
9.54082e-01,4.11000e+00,7.87000e-02
1.07143e+00,7.41000e+00,1.41000e-01
1.18878e+00,9.12000e+00,1.86000e-01
1.30612e+00,7.35000e+00,1.33000e-01
1.42347e+00,7.30000e+00,1.14000e-01
1.54082e+00,6.43000e+00,1.10000e-01
1.65816e+00,5.18000e+00,6.90000e-02
1.77551e+00,1.80000e+00,2.79000e-02
1.89286e+00,1.00000e+00,1.95000e-02
2.01020e+00,3.62000e+00,5.56000e-02
2.12755e+00,1.68000e+00,3.46000e-02
2.24490e+00,2.06000e-01,7.64000e-03
2.36224e+00,7.34000e-02,5.39000e-03
2.47959e+00,1.55000e-01,6.03000e-03
2.59694e+00,5.94000e-01,1.29000e-02
2.71429e+00,6.60000e-01,1.34000e-02
2.83163e+00,8.49000e-01,1.57000e-02
2.94898e+00,4.93000e-01,9.39000e-03
3.06633e+00,2.04000e+00,3.68000e-02
3.18367e+00,1.88000e-01,5.41000e-03
3.30102e+00,1.69000e+00,2.89000e-02
3.41837e+00,7.43000e-01,1.60000e-02
3.53571e+00,4.86000e-01,1.49000e-02
3.65306e+00,4.10000e-01,1.38000e-02
3.77041e+00,5.55000e-02,1.33000e-02
3.88776e+00,3.81000e-01,1.57000e-02
4.00510e+00,3.25000e-01,1.65000e-02
4.12245e+00,6.94000e-02,2.30000e-02
4.23980e+00,7.16000e-02,2.01000e-02
4.35714e+00,1.18000e-01,2.14000e-02
4.47449e+00,9.70000e-02,2.07000e-02
4.59184e+00,9.48000e-02,2.53000e-02
4.70918e+00,5.75000e-02,1.73000e-02
4.82653e+00,6.52000e-02,2.14000e-02
4.94388e+00,9.22000e-02,2.38000e-02
5.06122e+00,1.27000e-01,2.21000e-02
5.17857e+00,8.21000e-02,2.24000e-02
5.29592e+00,4.31000e-02,2.01000e-02
5.41327e+00,4.97000e-01,2.89000e-01
5.53061e+00,4.79000e-01,3.03000e-01
5.64796e+00,5.54000e-01,3.20000e-01
5.76531e+00,6.50000e-01,3.54000e-01
5.88265e+00,6.19000e-01,3.74000e-01
6.00000e+00,5.84000e-01,3.83000e-01
